x, y, z
5.14045, 18.7093, 4.49929
5.77761, 18.8443, 6.39026
6.22352, 18.5476, 2.82573
3.73153, 19.0435, 2.53279
2.62935, 17.429, 2.1102
3.76093, 20.1287, 4.2125
1.30171, 18.472, 1.038
3.96924, 19.1815, 7.17515
7.66617, 17.6662, 1.75719
8.25349, 18.5139, 3.47077
8.18978, 15.8907, 0.999998
9.33018, 18.4772, 0.999999
10.4242, 16.9342, 1.64985
2.93501, 12.8624, 9.8821
2.78307, 14.2281, 14.3465
3.32481, 15.9522, 13.4898
2.55095, 12.4319, 13.4982
3.51625, 12.4384, 11.7482
1.90348, 11.2833, 11.9906
3.80635, 14.3448, 8.86071
3.04076, 15.6684, 11.5305
-0.244643, 14.3467, 7.84647
0.676535, 15.7572, 8.92449
1.20905, 16.6978, 7.24174
0.9945, 18.6847, 7.16215
2.33939, 18.0515, 5.82409
1.84142, 17.5997, 3.94052
0.495871, 18.8033, 3.0798
3.00728, 17.4861, 7.62247
3.54006, 18.7479, 9.07983
2.52306, 19.2535, 10.726
1.15609, 15.6324, 10.8621
0.632461, 13.9366, 9.94014
0.327402, 16.4853, 12.4701
0.475353, 12.5299, 11.3532
2.78586, 14.8187, 18.1545
2.6213, 13.1612, 19.2616
4.06985, 11.9357, 19.8941
2.51449, 14.0655, 16.3217
6.14412, 2.04824, 36.0979
5.24263, 2.06375, 34.3127
7.67288, 1.95504, 34.8118
7.23454, 3.54548, 33.6812
6.93621, 2.98283, 31.7853
10.1196, 0.0646879, 31.6403
9.36514, 2.96864, 34.4819
11.7634, 1.78841, 35.4105
11.0284, 2.2743, 33.615
11.772, 0.7844, 32.5072
12.0137, -0.238794, 30.8059
4.3856, 0.549436, 44.088
4.38895, 0.0626533, 42.1482
4.69506, 1.90881, 41.4425
4.73503, 2.68325, 39.5989
2.26355, 4.01453, 38.8064
3.81726, 4.41423, 40.0006
1.40738, 5.19365, 37.4365
5.85502, 2.76188, 37.9438
3.41688, 6.41944, 32.3866
3.26609, 6.79732, 34.3448
4.47092, 3.47811, 35.4976
3.49885, 3.50715, 33.75
3.40689, 5.15236, 37.4509
4.04995, 5.43165, 35.5778
2.67061, -3.31722, 27.2342
3.76743, -2.00569, 26.1965
3.21684, -2.64558, 29.3608
2.52625, -4.45751, 28.8709
3.81936, -4.66397, 34.4508
2.755, -2.4987, 31.3012
1.86642, -3.2163, 33.89
3.53184, -3.53067, 32.8282
2.46369, 0.267167, 33.2463
1.5599, -1.12973, 32.1365
1.46985, 0.146843, 30.5995
3.74258, -3.21991, 35.8324
4.48595, -3.62846, 38.0252
3.57272, -1.09431, 38.8938
4.27266, -1.83236, 37.1717
4.33343, -1.34312, 40.7266
1.68422, -4.31368, 24.4702
2.58172, -4.98121, 26.1282
6.92941, -3.30454, 35.7716
6.23042, -2.22051, 37.3001
2.18742, -2.20959, 24.9873
0.332097, -2.95456, 25.0399
2.36537, 11.8957, 25.2631
3.23882, 11.6485, 23.481
0.886463, 10.8296, 26.0855
3.93417, 9.82754, 27.9023
3.63883, 10.5844, 26.0747
2.58839, 13.2102, 22.4142
2.77619, 14.4042, 20.8207
5.83964, 10.6837, 21.9803
3.89827, 11.0636, 21.6857
5.02327, 7.52208, 31.9352
4.65337, 8.13245, 33.8036
6.49066, 6.33235, 31.2785
6.29354, 5.0959, 32.8381
4.31995, 10.1995, 30.6052
3.4953, 8.42331, 31.0116
5.95731, 8.77634, 26.3158
4.50851, 7.78083, 27.2697
3.65835, 8.19959, 29.0309
0.86988, -6.04789, 9.84582
-0.00854944, -7.06251, 8.36294
0.13278, -3.01966, 10.281
1.15145, -3.68575, 11.868
-1.83412, -2.70341, 10.1042
0.590644, -5.60328, 11.7757
0.981729, -4.85229, 16.4341
1.04388, -3.3136, 17.7102
0.0195391, -1.81254, 14.6922
1.43788, -2.45535, 15.9472
0.871929, -4.54461, 14.4609
0.623844, -6.34763, 13.6317
0.317412, -0.637483, 13.1015
2.9003, -0.442506, 20.9954
1.83214, -2.13139, 21.0771
1.57548, -4.22881, 21.4936
2.91602, -3.91817, 22.945
1.55698, -3.48983, 19.6352
1.24452, 0.21548, 20.0868
1.72654, -5.00888, 8.36711
-1.52199, -10.1675, 8.33401
-3.01414, -11.1558, 9.22656
-1.55069, -8.31912, 11.6796
-1.00377, -6.57528, 12.492
-3.01095, -9.68572, 11.675
-2.37496, -9.52702, 13.5645
-4.27423, -9.89921, 10.1393
-1.70193, -5.69738, 10.8361
-0.92148, -10.9006, 13.5925
0.40836, -10.9156, 15.0862
-4.20712, -6.74971, 8.71739
-3.29577, -6.85624, 10.4945
-4.41745, -7.88373, 7.08346
-2.73175, -8.65555, 7.83358
-2.77716, -6.06593, 4.47921
-1.4686, -4.6494, 5.00938
-4.0503, -5.46838, 5.90119
-4.7709, -7.21053, 5.23364
0.0454329, -5.87095, 6.75755
0.424577, -5.282, 4.88423
-1.38752, -10.0883, 3.30616
-0.433358, -8.68778, 2.24405
-3.24723, -10.0459, 4.04077
-0.836638, -7.39937, 5.81635
-0.197336, -7.65114, 3.93807
-0.567951, -7.12265, 1.0062
