x, y, z
9.86205, 14.8182, 6.35619
11.7578, 14.8431, 6.99287
9.0891, 15.639, 4.70424
7.88472, 13.6314, 7.16127
7.88325, 11.7949, 7.95309
8.68871, 15.3069, 7.90035
5.90923, 11.5704, 7.72316
11.3341, 14.2936, 8.86861
9.11098, 15.9352, 2.72642
10.8677, 16.1624, 3.65505
8.72385, 15.0027, 1
9.64065, 17.5785, 1.71696
11.2669, 16.6613, 0.999999
10.8247, 11.7428, 16.6773
8.52672, 12.8743, 20.586
8.02278, 14.4354, 19.4419
9.78951, 11.3797, 20.1718
10.9641, 11.9559, 18.661
10.5297, 10.02, 18.901
10.7285, 13.3488, 15.4892
8.9195, 14.101, 17.6857
9.57785, 11.0032, 13.7967
8.61991, 12.606, 14.5133
9.12513, 13.641, 12.8782
7.90252, 15.1025, 12.2704
8.78545, 14.2085, 10.7144
7.94854, 12.6686, 9.75095
5.95159, 12.6871, 9.64217
10.249, 14.9456, 11.8609
10.9896, 16.7965, 11.6996
10.7571, 18.3461, 12.9424
8.01075, 12.8674, 16.4002
9.02745, 11.1941, 15.9926
6.17225, 13.0551, 17.1648
8.97589, 10.0649, 17.6425
7.17669, 13.5439, 24.1326
7.46367, 12.0705, 25.4543
8.89123, 11.9043, 26.8451
7.87199, 12.6839, 22.4662
8.41651, 3.55459, 44.6063
8.62103, 3.20735, 42.6473
10.1461, 4.45407, 44.1596
9.60905, 5.34528, 42.4516
10.6502, 4.58757, 40.9212
14.4607, 4.55574, 43.1487
10.8673, 6.3194, 44.1782
12.5498, 7.01477, 46.3445
12.7834, 6.86167, 44.3641
14.6671, 6.19557, 44.275
16.2967, 5.54443, 43.3157
4.4964, 0.498034, 51.1479
5.1473, 0.178347, 49.284
4.96388, 2.06416, 48.6436
5.42899, 2.98143, 46.9283
3.45415, 3.24716, 44.798
3.7034, 3.95411, 46.6522
2.67522, 4.17159, 43.2047
6.95964, 3.819, 45.9508
6.00034, 5.5877, 39.0414
4.90103, 6.05072, 40.6467
6.79833, 3.9327, 43.0367
6.8641, 3.38018, 41.1157
4.36697, 4.94235, 43.9422
5.57239, 5.38251, 42.4082
9.02344, 1.43719, 34.7987
9.5036, 3.37864, 34.7843
8.55853, 1.22968, 37.0376
9.03001, -0.283601, 35.8179
8.61912, -2.29827, 41.2768
7.54094, 0.325134, 38.5026
6.45546, -1.64263, 40.2219
8.26473, -0.829412, 39.9665
5.18223, 1.59413, 40.5869
5.60058, 0.565557, 38.9235
5.27079, 2.20403, 37.8251
7.54726, -1.58751, 42.8085
7.7766, -2.50697, 44.9602
5.64428, -0.930579, 45.9495
7.03071, -0.702757, 44.5261
5.93287, -1.06022, 47.9243
9.56221, 1.4932, 31.7471
10.166, 0.561178, 33.4105
10.3306, -0.580606, 43.9955
8.8445, -0.438943, 45.3265
8.72572, 3.16375, 32.9543
7.60428, 1.84763, 31.9493
5.47453, 10.0613, 30.9292
6.97076, 10.6443, 29.737
4.75471, 8.21743, 31.2158
6.6559, 9.12125, 34.3092
6.78293, 9.6792, 32.3928
6.04626, 11.6404, 28.2697
6.14273, 12.8911, 26.712
9.96919, 11.6174, 29.6394
8.52717, 10.8349, 28.4955
7.03884, 7.28247, 38.8194
5.75056, 7.81788, 40.2525
8.93716, 6.68201, 39.0086
8.59624, 5.91359, 40.8233
5.8822, 9.49269, 37.0279
5.84055, 7.50373, 37.2335
9.34234, 9.64561, 33.8574
8.50828, 7.90337, 34.376
6.92547, 7.58007, 35.5551
14.6318, 8.01628, 19.6403
15.4703, 8.18798, 17.8327
11.3675, 8.23104, 19.2138
11.8794, 7.79724, 21.0979
10.4265, 7.07599, 17.8795
13.5255, 6.7324, 20.7022
11.8052, 4.65202, 24.5801
10.3191, 4.91355, 25.8927
9.20562, 6.70601, 23.0717
10.2371, 6.57342, 24.78
11.945, 5.79823, 22.9471
13.6051, 5.21149, 21.9986
8.77404, 8.40015, 22.1003
8.86534, 6.34016, 30.1775
9.23339, 4.55087, 29.3632
10.3674, 2.73129, 29.1591
10.7786, 2.94503, 31.1047
10.3169, 4.13421, 27.7346
7.50139, 6.39879, 28.7159
14.6963, 10.0152, 19.6466
16.8182, 5.91025, 15.5236
16.3409, 4.17691, 14.6475
14.5464, 4.39375, 18.2432
13.405, 4.95914, 19.7851
14.6018, 3.1587, 16.6711
14.3642, 2.01569, 18.295
14.3809, 3.80565, 14.7916
12.8209, 6.5051, 18.6587
16.2688, 1.68032, 18.8049
16.7046, 0.970237, 20.6231
12.5437, 6.7122, 15.2305
12.7083, 5.59514, 16.8813
13.6556, 7.18283, 13.6362
15.0957, 6.75323, 14.9559
14.1687, 10.7118, 13.8259
13.886, 11.6267, 15.5818
12.5248, 9.60617, 14.0999
13.4412, 8.81894, 12.5061
15.172, 10.0784, 17.2519
15.5999, 11.9102, 16.5728
18.4807, 9.57407, 12.7225
18.4235, 11.4997, 13.2597
17.0673, 8.48989, 11.8132
16.1216, 9.52559, 15.5808
17.2581, 10.9728, 14.7972
17.6395, 13.3148, 12.9584
