x, y, z
7.35771, 17.6334, 5.93208
8.73774, 17.8283, 7.36648
7.57797, 17.8257, 3.95357
5.12819, 17.573, 4.93729
4.3822, 15.7174, 4.95265
5.74598, 18.6816, 6.48304
2.51497, 16.3398, 4.59759
7.43772, 17.7879, 8.8858
8.42321, 17.2706, 2.22804
9.68665, 17.8759, 3.65538
8.58784, 15.7007, 0.999999
9.58155, 18.3469, 1.00335
10.9765, 16.9137, 0.999997
7.24068, 11.7912, 13.3755
6.20083, 13.2701, 17.6833
6.51782, 15.0342, 16.7961
6.45443, 11.4331, 16.9342
7.63112, 11.5722, 15.3248
6.26629, 10.1165, 15.4366
7.91756, 13.3877, 12.3789
6.61796, 14.6203, 14.8419
4.46301, 12.4745, 10.7982
4.74066, 14.1152, 11.9078
5.24257, 15.1422, 10.2666
4.78509, 17.0877, 10.1933
5.56589, 16.4659, 8.4602
4.42946, 15.8123, 6.94983
2.61601, 16.642, 6.79823
6.94239, 16.1181, 9.86881
8.00618, 17.541, 10.7873
7.8453, 18.2005, 12.6686
4.91115, 14.1745, 13.8996
4.88276, 12.3693, 13.039
3.68139, 14.9112, 15.2942
4.74245, 11.024, 14.5122
5.50464, 13.9975, 21.4029
5.40402, 12.3846, 22.5812
6.85332, 11.5496, 23.6778
5.67529, 13.1318, 19.608
7.52733, 3.38444, 40.7932
7.22342, 3.2359, 38.822
9.28673, 3.93221, 40.0157
8.6356, 5.22385, 38.6345
9.12619, 4.58255, 36.8048
13.0901, 3.27043, 37.8303
10.4658, 5.54681, 40.0697
12.7449, 5.39424, 41.7398
12.443, 5.59736, 39.7731
13.9973, 4.5589, 39.0619
15.1088, 3.76816, 37.5993
4.39212, 0.550854, 47.8536
4.65015, 0.298191, 45.8865
4.71296, 2.23857, 45.4059
5.03378, 3.21715, 43.6914
2.63057, 3.95653, 42.2127
3.57459, 4.57394, 43.8643
1.81152, 5.05829, 40.7583
6.49454, 3.79832, 42.4551
4.50098, 6.57873, 36.1726
3.80781, 6.93593, 38.0143
5.71149, 4.21948, 39.6861
5.26555, 3.93109, 37.7579
3.72313, 5.44644, 41.2
4.67168, 5.91814, 39.5036
5.78709, 0.48423, 30.6949
6.78337, 2.18818, 30.3725
5.8171, 0.482708, 32.9908
5.56781, -1.13737, 31.8448
5.8991, -2.78404, 37.4322
4.95631, -0.0506143, 34.7155
3.80234, -1.59703, 36.7851
5.65897, -1.31405, 36.0975
3.56136, 1.89569, 37.1205
3.29962, 0.739985, 35.5094
3.18034, 2.37019, 34.3569
5.36185, -1.77717, 39.0746
5.80898, -2.65449, 41.2097
4.35389, -0.57298, 42.4588
5.43122, -0.737662, 40.7818
4.95372, -0.925438, 44.3339
5.51808, 0.327478, 27.6113
6.22043, -0.723807, 29.161
8.48647, -1.44381, 39.6187
7.38143, -0.899944, 41.1945
5.52002, 2.19348, 28.822
3.85692, 1.25204, 28.2324
3.77991, 11.1966, 28.3869
5.14211, 11.1332, 26.9238
2.46444, 9.79048, 28.9275
5.05696, 9.79249, 31.5651
5.07835, 10.3342, 29.64
4.46804, 12.4637, 25.5914
4.81087, 13.6462, 24.0153
8.2031, 10.7764, 26.2531
6.38606, 10.6897, 25.4219
5.766, 8.11415, 35.9672
4.8097, 8.62747, 37.647
7.62627, 7.41097, 35.7552
7.47262, 6.28463, 37.4008
4.68803, 10.4005, 34.2228
4.30192, 8.48666, 34.6566
7.58272, 9.26375, 30.5479
6.26915, 7.95465, 31.2967
4.96267, 8.21333, 32.7888
7.87737, 5.0028, 13.7928
7.78016, 4.62065, 11.8321
5.94373, 7.15629, 15.0158
6.79041, 6.11636, 16.4996
4.09555, 6.98713, 14.2705
7.06278, 4.39648, 15.5159
6.30622, 2.97354, 19.9658
5.60342, 3.71013, 21.6872
4.46272, 6.02529, 19.2894
5.84781, 5.34526, 20.5618
6.37294, 4.10435, 18.3175
7.01226, 2.90648, 16.849
4.47423, 7.81904, 18.4049
6.1728, 5.23521, 26.1414
5.60735, 3.49442, 25.3353
5.88929, 1.41254, 24.8611
6.90161, 1.34317, 26.5846
5.90024, 2.84576, 23.4662
4.53171, 5.87272, 25.1926
8.54633, 6.79628, 13.2133
7.88898, 1.62406, 10.1615
6.80659, -0.0516291, 10.0185
6.34941, 1.57228, 13.6798
5.89901, 2.80277, 15.1907
5.65543, 0.0170302, 12.6312
5.74004, -0.566929, 14.5421
4.96802, 0.205401, 10.7625
5.27752, 4.11034, 13.8109
7.59519, -1.30892, 14.6306
8.44901, -1.65172, 16.4064
3.9889, 3.50647, 10.6729
4.45466, 2.84257, 12.5011
4.63344, 3.26727, 8.79476
6.28748, 2.76667, 9.8015
5.83427, 6.49264, 7.81695
6.25573, 7.81341, 9.25845
4.16291, 5.94015, 8.76631
4.424, 4.59262, 7.31167
7.69967, 6.39696, 10.9166
8.21043, 7.88053, 9.67635
8.84008, 4.14163, 5.88663
9.34948, 6.07522, 5.84544
7.0127, 3.33123, 5.82408
7.74157, 5.3268, 9.22748
8.77416, 6.20433, 7.75654
8.86271, 7.93918, 5.30815
