x, y, z
4.79593, 17.9887, 4.3126
5.02547, 17.0809, 6.07985
6.1363, 18.2233, 2.84687
4.15911, 19.6653, 2.65497
2.86009, 19.0497, 1.26447
3.91463, 19.7544, 4.63797
2.09675, 20.8792, 0.999998
3.08051, 17.08, 6.54583
7.67801, 17.5492, 1.76583
8.15629, 18.4656, 3.47794
8.43345, 15.8631, 0.999998
9.21054, 18.5811, 0.999999
10.5244, 17.3413, 1.85821
-0.102969, 9.69676, 0.999999
1.30149, 8.68822, 5.33859
2.9761, 9.76467, 5.14641
0.359445, 7.58932, 3.95839
0.798294, 8.33783, 2.15802
-0.954162, 7.42428, 2.45548
0.514236, 11.5991, 0.999998
2.3626, 11.5725, 4.55046
-1.96086, 14.1206, 3.57013
-0.256916, 13.9227, 4.59843
0.217293, 15.8204, 4.18138
0.229248, 17.1425, 5.68198
1.81818, 17.3887, 4.49258
1.71243, 18.3839, 2.76102
1.03888, 20.2637, 2.87361
2.10903, 15.6827, 5.49514
2.2114, 15.5446, 7.48772
0.797143, 14.9515, 8.77151
0.571843, 12.1991, 5.18338
-0.878869, 12.0948, 3.8106
0.650029, 11.3324, 6.98411
-1.57581, 10.2204, 3.84121
0.27913, 8.91435, 9.04717
-1.63386, 8.47204, 9.42769
-2.39096, 6.81042, 10.2436
0.378648, 8.47064, 7.09956
6.95117, 0.460692, 22.6764
6.57486, -1.00776, 21.3718
8.19875, 0.859559, 21.165
7.34296, 2.53229, 20.4797
6.62607, 2.23513, 18.6364
10.1523, 0.0792384, 17.2592
9.64583, 2.18514, 20.7793
12.3073, 1.24694, 20.9876
11.17, 1.95849, 19.5043
11.8476, 0.862679, 17.9746
11.8629, 0.257982, 16.0683
4.15123, 0.192724, 30.3342
4.05958, -0.605303, 28.5026
4.43545, 1.07944, 27.4925
4.64136, 1.49518, 25.547
1.75345, 1.81765, 25.2929
3.34704, 3.01648, 25.4454
0.748839, 1.28114, 23.6488
5.99333, 1.52406, 24.0735
2.69122, 2.68788, 18.1459
2.14889, 2.99551, 20.0462
3.38039, -0.109682, 21.6706
2.244, -0.352104, 20.0427
2.61217, 1.95375, 23.374
3.03315, 1.84417, 21.4219
1.83854, -5.01659, 15.2011
0.611376, -3.60962, 14.4838
2.04132, -4.44014, 17.4145
3.41721, -5.43348, 16.3561
4.76644, -6.55716, 21.7813
2.01652, -5.42521, 19.1549
2.33031, -6.03211, 21.9009
3.56807, -5.86117, 20.3392
0.0147819, -4.9943, 21.8615
0.392234, -5.9965, 20.1724
-0.957289, -4.88049, 19.2063
4.55761, -5.05467, 23.0847
4.89469, -4.78475, 25.3959
3.76965, -2.18841, 25.3393
4.79423, -3.3152, 24.043
3.87991, -2.21991, 27.3361
1.38322, -6.15855, 12.3562
2.8592, -5.72898, 13.6356
7.70253, -4.90301, 23.5885
6.70454, -3.4997, 24.6057
-0.204956, -5.19651, 13.5808
-0.00301409, -7.17588, 13.3776
-1.24673, 8.26346, 15.5642
-1.83531, 7.43774, 13.8403
-1.78875, 7.78036, 17.4278
1.61166, 6.46754, 17.0833
0.203593, 6.89623, 15.7292
-0.704267, 8.35191, 12.4674
0.543432, 8.23291, 10.9088
-2.80531, 4.78772, 12.432
-2.77758, 6.77466, 12.2056
4.5919, 6.51226, 20.4165
4.83457, 7.51919, 22.1274
5.99197, 5.78716, 19.1861
6.0799, 4.05368, 20.1797
2.20803, 8.02877, 19.2127
2.59318, 6.45101, 20.3799
2.93947, 4.69516, 15.3811
2.06625, 4.29699, 17.1358
1.96363, 5.44848, 18.7679
-2.17576, -13.9117, 3.54156
-3.00131, -15.45, 4.51736
-4.07792, -11.396, 3.33818
-2.22617, -10.8835, 2.78298
-5.01921, -11.0001, 5.05783
-1.22263, -12.1932, 3.91328
0.00437706, -8.68825, 5.98533
-0.705964, -6.85028, 6.32772
-1.54414, -7.42887, 2.95524
-0.276986, -6.81271, 4.37463
-0.131012, -9.51899, 4.17107
0.551941, -11.3888, 4.36472
-1.38079, -7.04109, 1
-1.46718, -2.44035, 7.88858
-1.37871, -4.22756, 8.78192
-0.47788, -5.69519, 10.0758
0.837044, -4.65028, 11.1617
-0.558809, -5.91528, 8.08958
-3.00567, -3.31055, 6.95277
-3.41742, -14.4343, 2.06332
-2.42424, -17.1981, 7.21848
-1.52206, -17.1624, 9.00307
-0.558691, -13.8937, 6.83106
-0.586311, -12.1747, 5.80926
-0.181018, -14.6678, 8.63609
1.47325, -13.6992, 8.06586
-1.63012, -15.3471, 9.83552
-2.57617, -12.2023, 6.00845
2.41814, -15.1329, 7.04033
3.92296, -14.6548, 5.81277
-4.47495, -13.557, 8.54451
-2.7112, -12.8844, 7.88368
-5.31682, -15.309, 9.01538
-3.86444, -15.9337, 7.79052
-7.71337, -15.8391, 6.57186
-7.38463, -14.8255, 4.87935
-7.38642, -14.1931, 7.65984
-7.27322, -15.7188, 8.94799
-4.95583, -15.3987, 4.09642
-6.73079, -16.0069, 3.4039
-7.05028, -20.3985, 4.43477
-5.94051, -20.0983, 2.79825
-8.49601, -19.242, 5.19126
-5.02405, -17.1546, 5.05148
-4.90455, -18.7307, 3.82617
-5.7811, -19.2375, 0.999998
