x, y, z
4.87397, 18.1778, 4.39278
5.11897, 17.3382, 6.19141
6.19406, 18.334, 2.89849
4.2013, 19.7804, 2.67712
2.85126, 19.1145, 1.36033
4.02248, 19.9676, 4.66029
2.12785, 20.9439, 0.999998
3.20049, 17.4928, 6.73503
7.764, 17.6357, 1.87498
8.20144, 18.7369, 3.48616
8.60078, 15.9229, 1.26988
9.23991, 18.6634, 0.999998
10.6177, 17.5564, 1.93612
-0.40778, 9.81528, 0.999999
-0.511725, 9.1893, 5.62744
1.29263, 9.9631, 6.00887
-1.06699, 8.00543, 4.11413
-0.028812, 8.53788, 2.49151
-1.8573, 7.75655, 2.29066
0.402215, 11.6439, 0.999998
1.19351, 11.851, 5.35623
-2.32703, 15.1466, 3.54741
-0.882465, 14.6453, 4.83656
0.0482488, 16.3771, 4.47002
0.311552, 17.6483, 5.99149
1.85691, 17.7126, 4.72353
1.72655, 18.5743, 2.92342
1.069, 20.463, 2.90465
2.10257, 16.0764, 5.8471
2.2978, 16.0893, 7.8375
0.922213, 15.6744, 9.22874
-0.54431, 12.8169, 5.57318
-1.64112, 12.9405, 3.90534
-1.03787, 12.0062, 7.33363
-2.66799, 11.2308, 3.75565
-2.74958, 10.1054, 8.62789
-4.704, 10.2279, 8.22144
-6.046, 8.7506, 8.09279
-2.05235, 9.42702, 6.88042
5.98103, 0.0261437, 15.6881
5.78534, -1.69463, 14.6878
6.44715, 0.532116, 13.8101
5.17519, 2.05621, 13.5668
3.89858, 1.65854, 12.0795
6.73503, -0.115233, 9.43
7.42654, 2.02002, 12.9008
10.0423, 1.4397, 11.9909
8.31953, 1.95027, 11.1126
8.45708, 0.901755, 9.41504
7.77867, 0.242973, 7.65274
4.23027, 0.0079024, 23.9029
4.5463, -1.01785, 22.2154
4.50696, 0.550854, 20.9753
4.21069, 0.735352, 19.006
1.37108, 0.169347, 19.3594
2.51123, 1.78757, 19.0741
0.248391, -0.815823, 18.0293
5.19023, 0.950404, 17.2757
-0.158885, 2.10987, 12.6887
-0.0687058, 1.8505, 14.6698
1.89989, -1.28017, 15.0173
0.239292, -1.39634, 13.9088
1.71652, 0.32141, 17.2869
1.35419, 0.616309, 15.3422
2.79645, -7.92105, 14.0415
0.874447, -7.94355, 14.5941
3.92326, -8.66874, 15.8973
4.67314, -7.42455, 14.5226
8.80309, -7.63947, 18.3128
5.55943, -9.36366, 16.8138
6.7972, -8.75971, 19.2858
7.18322, -8.3368, 17.3695
5.81977, -11.3605, 19.5457
5.8149, -11.2049, 17.5518
3.90528, -11.7977, 17.5082
8.03603, -5.91484, 18.974
7.48829, -4.76657, 20.9512
5.86177, -2.93498, 19.5337
7.50596, -3.99102, 19.1078
4.95459, -2.75212, 21.3067
1.49679, -7.40169, 11.2764
2.92166, -6.67861, 12.4792
10.6872, -4.48068, 20.0167
9.09418, -3.27357, 20.089
0.677761, -8.8018, 12.7983
1.73762, -9.38588, 11.206
-5.58256, 6.38684, 13.2058
-6.04597, 7.09401, 11.3933
-5.7715, 4.52182, 13.903
-1.9488, 5.6946, 13.3466
-3.77209, 5.85756, 12.541
-4.464, 8.21606, 10.9051
-2.82046, 8.48467, 9.79759
-7.92606, 6.55212, 8.91973
-6.81186, 7.97818, 9.77112
2.27287, 5.61181, 14.9494
3.02622, 6.62687, 16.4993
3.13779, 5.18754, 13.1968
3.68583, 3.3672, 13.818
-0.513219, 6.85007, 15.3185
0.482853, 5.16297, 15.7204
-1.3586, 4.75031, 10.7634
-1.27448, 3.75887, 12.4984
-0.718484, 4.43585, 14.2963
-2.4371, -14.5735, 3.34434
-3.00422, -16.1597, 4.42249
-4.36635, -12.1121, 3.80879
-2.73772, -11.5111, 2.81564
-4.82426, -11.8374, 5.73618
-1.44846, -12.8481, 3.5575
-0.289311, -9.65155, 5.62635
-1.28797, -8.06082, 6.31353
-1.83051, -7.96258, 2.83405
-0.767216, -7.50371, 4.46464
-0.372401, -10.1587, 3.6935
0.368536, -12.0125, 3.57387
-1.52689, -7.22498, 0.999999
-3.44314, -4.67264, 8.83515
-2.69465, -6.47112, 9.28813
-1.26815, -7.78018, 10.2321
-0.323987, -6.62618, 11.5651
-1.37791, -7.55882, 8.24741
-4.6292, -5.78401, 7.66978
-3.96918, -15.0742, 2.16027
-1.68013, -18.044, 6.75456
-0.334601, -18.0887, 8.23359
-0.0128944, -14.6843, 6.09002
-0.33235, -12.9141, 5.21579
0.837906, -15.5435, 7.68309
2.26978, -14.4977, 6.75783
-0.234222, -16.3285, 9.17782
-2.19759, -13.008, 5.93134
2.93025, -15.8455, 5.43603
4.05102, -15.2579, 3.88731
-3.33682, -14.5389, 8.80031
-1.8209, -13.7859, 7.73495
-4.00755, -16.3354, 9.36815
-2.92817, -16.8525, 7.76579
-6.98072, -16.709, 7.6296
-7.11285, -15.544, 6.00935
-6.3698, -15.1585, 8.73522
-5.90764, -16.7893, 9.79668
-4.99694, -16.0612, 4.56161
-6.91169, -16.582, 4.31167
-7.03798, -20.9701, 4.26677
-5.94565, -20.4872, 2.6625
-8.41704, -19.8735, 5.21316
-4.85901, -17.9241, 5.27622
-4.83161, -19.3232, 3.84738
-5.78062, -19.3878, 0.999998
