x, y, z
5.36998, 18.4334, 16.8313
5.94298, 16.8736, 17.9443
6.50677, 19.708, 15.7907
4.23591, 20.493, 16.1704
3.03383, 20.4465, 14.5726
4.0553, 19.4994, 17.8967
1.93425, 21.991, 15.2092
4.0958, 16.3561, 18.51
8.18474, 20.1337, 14.7891
8.25613, 20.4339, 16.7651
9.55729, 19.2883, 13.6053
9.16224, 21.8748, 14.6754
10.871, 20.9957, 15.2297
0.242823, 13.1529, 7.72731
-1.86479, 10.9796, 11.2818
-0.161998, 10.6598, 12.2809
-2.18454, 10.9146, 9.30858
-0.483296, 11.4087, 8.38346
-2.23938, 11.8107, 7.51815
1.39604, 14.2809, 8.9095
0.28959, 12.4234, 13.109
-2.13882, 16.8364, 14.3508
-0.964833, 15.269, 14.757
0.421089, 16.4994, 15.5088
1.00498, 16.2205, 17.4012
2.41359, 17.1693, 16.345
2.07601, 18.9256, 15.4499
1.20658, 20.3287, 16.5793
2.82448, 15.2155, 16.227
3.32744, 14.0687, 17.7864
2.18248, 12.7944, 18.8185
-1.18009, 13.4175, 14.0319
-1.97006, 14.9132, 12.9648
-2.09528, 11.8128, 14.7983
-3.34693, 14.1051, 11.7601
-4.64092, 11.3394, 13.9301
-6.31488, 12.2483, 13.3204
-7.70201, 11.5817, 12.0431
-3.6, 11.3015, 12.2227
3.44731, 1.54987, 10.0784
3.21821, -0.0505018, 8.90101
2.59801, 2.30843, 8.43426
1.13128, 3.36238, 9.29326
-0.632095, 2.87721, 8.48387
3.70901, 2.01872, 4.20065
2.50447, 4.09071, 7.53164
3.86921, 5.70649, 5.6516
2.32929, 4.433, 5.56896
2.61965, 3.63642, 3.75758
2.59999, 2.1397, 2.43114
4.00643, -0.770471, 18.097
4.43591, -1.26645, 16.2077
4.26831, 0.572017, 15.4383
3.2446, 1.3244, 13.8937
1.17644, 0.736667, 15.8655
1.8852, 2.35849, 14.9342
-0.43762, -0.355042, 15.415
3.47367, 2.00288, 12.0263
-3.64442, 1.61408, 10.6302
-2.62689, 1.63274, 12.3519
-0.273077, -1.21852, 11.9961
-2.21981, -1.65477, 11.855
0.378864, 0.688099, 13.9166
-0.885814, 0.648675, 12.3677
2.58401, -7.94563, 13.0855
1.02065, -8.17465, 14.3116
4.33698, -8.9447, 14.1819
4.50465, -7.42023, 12.8982
9.60073, -7.35846, 14.6112
6.23975, -9.46442, 14.5125
7.906, -8.04748, 16.308
7.87266, -8.32452, 14.3276
7.58792, -11.0896, 17.1695
6.87955, -11.1871, 15.3017
5.12641, -11.8505, 15.9992
8.88682, -5.49085, 14.6595
7.85821, -3.89397, 16.0451
6.70503, -2.58393, 13.8176
8.38088, -3.62895, 14.1329
5.01146, -2.64661, 14.8796
0.559106, -7.25131, 10.8443
2.10747, -6.46089, 11.8331
11.188, -3.70399, 15.9495
9.66662, -2.59946, 15.2674
0.256262, -8.94357, 12.2555
1.03542, -9.14792, 10.4249
-8.84819, 6.24397, 13.5408
-8.72567, 8.15704, 12.9706
-9.6883, 4.70625, 12.5766
-5.28665, 5.36672, 13.0416
-7.16546, 5.83454, 12.5404
-6.99718, 8.77638, 13.7635
-5.0853, 9.31048, 13.5198
-10.1866, 10.1982, 11.0609
-8.93386, 10.1146, 12.6177
-1.0285, 5.23806, 13.094
0.336974, 5.6368, 14.4999
-1.03547, 5.78618, 11.1706
-0.224812, 4.05197, 10.5915
-3.35875, 5.58894, 15.0632
-2.28712, 4.1407, 14.1948
-5.92897, 5.0705, 10.414
-5.22896, 3.65065, 11.6363
-3.99665, 3.84653, 13.1993
-3.13048, -14.7273, 5.33369
-3.33844, -15.914, 6.93007
-4.82625, -12.1362, 5.96454
-3.72265, -11.8327, 4.32445
-4.53741, -11.4256, 7.81158
-2.1995, -13.0447, 4.78399
-1.00333, -9.69909, 5.7146
-1.98697, -8.06211, 6.30852
-2.16664, -7.94596, 2.79221
-1.2577, -7.52899, 4.5242
-1.2733, -10.4494, 3.88043
-0.546126, -12.3118, 3.93004
-1.64259, -7.2296, 0.999993
-4.36036, -4.67719, 8.63219
-3.65012, -6.4741, 9.14857
-2.30556, -7.77693, 10.2138
-1.23823, -6.81808, 11.6071
-2.24493, -7.55836, 8.22674
-5.43806, -5.79096, 7.36805
-4.88488, -15.5044, 4.76963
-0.58878, -17.5496, 11.7226
0.167121, -16.9076, 13.4594
0.933839, -14.1783, 10.5362
0.86031, -12.7766, 9.11151
1.24276, -14.4445, 12.4942
2.83755, -13.4672, 11.7861
-0.224072, -14.9677, 13.749
-1.13222, -12.9105, 9.22045
4.00045, -14.9946, 11.2249
5.55486, -14.6706, 10.0088
-3.1427, -13.3889, 11.9775
-1.35357, -12.934, 11.208
-4.00899, -14.9253, 12.9203
-2.73224, -15.9115, 11.7382
-6.90467, -15.6806, 10.9571
-7.10506, -14.9512, 9.10564
-6.16393, -13.9373, 11.5991
-5.97797, -15.1992, 13.1395
-5.26458, -15.8121, 7.45882
-7.15885, -16.3963, 7.72408
-6.99165, -20.7482, 8.43191
-6.17626, -20.5478, 6.61671
-8.28111, -19.5343, 9.36123
-4.8831, -17.4823, 8.49082
-4.97503, -19.1419, 7.37862
-6.32302, -19.7841, 4.77414
