dz, F
2.0433e-07, 1.72911e-13
2.043e-07, 1.73763e-13
2.0427e-07, 1.74612e-13
2.0424e-07, 1.75458e-13
2.0421e-07, 1.76301e-13
2.0418e-07, 1.7714e-13
2.0415e-07, 1.77977e-13
2.0412e-07, 1.7881e-13
2.0409e-07, 1.79639e-13
2.0406e-07, 1.80465e-13
2.0403e-07, 1.81289e-13
2.04e-07, 1.82111e-13
2.0397e-07, 1.8293e-13
2.0394e-07, 1.83746e-13
2.0391e-07, 1.84559e-13
2.0388e-07, 1.8537e-13
2.0385e-07, 1.86177e-13
2.0382e-07, 1.86982e-13
2.0379e-07, 1.87785e-13
2.0376e-07, 1.88585e-13
2.0373e-07, 1.89382e-13
2.037e-07, 1.90178e-13
2.0367e-07, 1.90971e-13
2.0364e-07, 1.91763e-13
2.0361e-07, 1.92552e-13
2.0358e-07, 1.93338e-13
2.0355e-07, 1.94123e-13
2.0352e-07, 1.94905e-13
2.0349e-07, 1.95684e-13
2.0346e-07, 1.96461e-13
2.0343e-07, 1.97236e-13
2.034e-07, 1.98008e-13
2.0337e-07, 1.98778e-13
2.0334e-07, 1.99546e-13
2.0331e-07, 2.00313e-13
2.0328e-07, 2.01076e-13
2.0325e-07, 2.01838e-13
2.0322e-07, 2.02597e-13
2.0319e-07, 2.03354e-13
2.0316e-07, 2.04109e-13
2.0313e-07, 2.04862e-13
2.031e-07, 2.05612e-13
2.0307e-07, 2.0636e-13
2.0304e-07, 2.07107e-13
2.0301e-07, 2.07851e-13
2.0298e-07, 2.08592e-13
2.0295e-07, 2.09332e-13
2.0292e-07, 2.1007e-13
2.0289e-07, 2.10807e-13
2.0286e-07, 2.11541e-13
2.0283e-07, 2.12272e-13
2.028e-07, 2.13002e-13
2.0277e-07, 2.13729e-13
2.0274e-07, 2.14455e-13
2.0271e-07, 2.1518e-13
2.0268e-07, 2.15902e-13
2.0265e-07, 2.16623e-13
2.0262e-07, 2.17343e-13
2.0259e-07, 2.18061e-13
2.0256e-07, 2.18776e-13
2.0253e-07, 2.19491e-13
2.025e-07, 2.20204e-13
2.0247e-07, 2.20916e-13
2.0244e-07, 2.21626e-13
2.0241e-07, 2.22335e-13
2.0238e-07, 2.23042e-13
2.0235e-07, 2.23747e-13
2.0232e-07, 2.2445e-13
2.0229e-07, 2.25153e-13
2.0226e-07, 2.25853e-13
2.0223e-07, 2.26552e-13
2.022e-07, 2.27249e-13
2.0217e-07, 2.27945e-13
2.0214e-07, 2.2864e-13
2.0211e-07, 2.29334e-13
2.0208e-07, 2.30026e-13
2.0205e-07, 2.30718e-13
2.0202e-07, 2.31407e-13
2.0199e-07, 2.32095e-13
2.0196e-07, 2.3278e-13
2.0193e-07, 2.33464e-13
2.019e-07, 2.34146e-13
2.0187e-07, 2.34825e-13
2.0184e-07, 2.35503e-13
2.0181e-07, 2.3618e-13
2.0178e-07, 2.36855e-13
2.0175e-07, 2.37528e-13
2.0172e-07, 2.382e-13
2.0169e-07, 2.38872e-13
2.0166e-07, 2.39543e-13
2.0163e-07, 2.40213e-13
2.016e-07, 2.40882e-13
2.0157e-07, 2.4155e-13
2.0154e-07, 2.42218e-13
2.0151e-07, 2.42885e-13
2.0148e-07, 2.43551e-13
2.0145e-07, 2.44215e-13
2.0142e-07, 2.44878e-13
2.0139e-07, 2.4554e-13
2.0136e-07, 2.462e-13
2.0133e-07, 2.46859e-13
2.013e-07, 2.47517e-13
2.0127e-07, 2.48174e-13
2.0124e-07, 2.4883e-13
2.0121e-07, 2.49486e-13
2.0118e-07, 2.50142e-13
2.0115e-07, 2.50797e-13
2.0112e-07, 2.51452e-13
2.0109e-07, 2.52107e-13
2.0106e-07, 2.52762e-13
2.0103e-07, 2.53417e-13
2.01e-07, 2.54071e-13
2.0097e-07, 2.54725e-13
2.0094e-07, 2.55379e-13
2.0091e-07, 2.56033e-13
2.0088e-07, 2.56687e-13
2.0085e-07, 2.57342e-13
2.0082e-07, 2.57996e-13
2.0079e-07, 2.58651e-13
2.0076e-07, 2.59305e-13
2.0073e-07, 2.59961e-13
2.007e-07, 2.60618e-13
2.0067e-07, 2.61277e-13
2.0064e-07, 2.61936e-13
2.0061e-07, 2.62596e-13
2.0058e-07, 2.63258e-13
2.0055e-07, 2.63922e-13
2.0052e-07, 2.64586e-13
2.0049e-07, 2.65251e-13
2.0046e-07, 2.65917e-13
2.0043e-07, 2.66585e-13
2.004e-07, 2.67253e-13
2.0037e-07, 2.67923e-13
2.0034e-07, 2.68593e-13
2.0031e-07, 2.69265e-13
2.0028e-07, 2.69938e-13
2.0025e-07, 2.70611e-13
2.0022e-07, 2.71285e-13
2.0019e-07, 2.71962e-13
2.0016e-07, 2.72638e-13
2.0013e-07, 2.73315e-13
2.001e-07, 2.73993e-13
2.0007e-07, 2.74672e-13
2.0004e-07, 2.75352e-13
2.0001e-07, 2.76033e-13
1.9998e-07, 2.76715e-13
1.9995e-07, 2.77398e-13
1.9992e-07, 2.78082e-13
1.9989e-07, 2.78767e-13
1.9986e-07, 2.79453e-13
1.9983e-07, 2.80139e-13
1.998e-07, 2.80826e-13
1.9977e-07, 2.81514e-13
1.9974e-07, 2.82202e-13
1.9971e-07, 2.82891e-13
1.9968e-07, 2.83581e-13
1.9965e-07, 2.84272e-13
1.9962e-07, 2.84964e-13
1.9959e-07, 2.85657e-13
1.9956e-07, 2.8635e-13
1.9953e-07, 2.87044e-13
1.995e-07, 2.87739e-13
1.9947e-07, 2.88435e-13
1.9944e-07, 2.89132e-13
1.9941e-07, 2.8983e-13
1.9938e-07, 2.90529e-13
1.9935e-07, 2.9123e-13
1.9932e-07, 2.91931e-13
1.9929e-07, 2.92632e-13
1.9926e-07, 2.93333e-13
1.9923e-07, 2.94036e-13
1.992e-07, 2.94739e-13
1.9917e-07, 2.95444e-13
1.9914e-07, 2.96149e-13
1.9911e-07, 2.96855e-13
1.9908e-07, 2.97561e-13
1.9905e-07, 2.98269e-13
1.9902e-07, 2.98977e-13
1.9899e-07, 2.99686e-13
1.9896e-07, 3.00395e-13
1.9893e-07, 3.01104e-13
1.989e-07, 3.01813e-13
1.9887e-07, 3.02522e-13
1.9884e-07, 3.03232e-13
1.9881e-07, 3.03943e-13
1.9878e-07, 3.04654e-13
1.9875e-07, 3.05364e-13
1.9872e-07, 3.06075e-13
1.9869e-07, 3.06786e-13
1.9866e-07, 3.07498e-13
1.9863e-07, 3.0821e-13
1.986e-07, 3.08923e-13
1.9857e-07, 3.09638e-13
1.9854e-07, 3.10353e-13
1.9851e-07, 3.1107e-13
1.9848e-07, 3.11788e-13
1.9845e-07, 3.12506e-13
1.9842e-07, 3.13222e-13
1.9839e-07, 3.13938e-13
1.9836e-07, 3.14653e-13
1.9833e-07, 3.15368e-13
1.983e-07, 3.16082e-13
1.9827e-07, 3.16795e-13
1.9824e-07, 3.17508e-13
1.9821e-07, 3.18222e-13
1.9818e-07, 3.18936e-13
1.9815e-07, 3.19649e-13
1.9812e-07, 3.20363e-13
1.9809e-07, 3.21077e-13
1.9806e-07, 3.21792e-13
1.9803e-07, 3.22508e-13
1.98e-07, 3.23225e-13
1.9797e-07, 3.23943e-13
1.9794e-07, 3.24663e-13
1.9791e-07, 3.25384e-13
1.9788e-07, 3.26106e-13
1.9785e-07, 3.26828e-13
1.9782e-07, 3.27552e-13
1.9779e-07, 3.28278e-13
1.9776e-07, 3.29006e-13
1.9773e-07, 3.29736e-13
1.977e-07, 3.30467e-13
1.9767e-07, 3.31201e-13
1.9764e-07, 3.31936e-13
1.9761e-07, 3.32671e-13
1.9758e-07, 3.33408e-13
1.9755e-07, 3.34145e-13
1.9752e-07, 3.34883e-13
1.9749e-07, 3.35621e-13
1.9746e-07, 3.36358e-13
1.9743e-07, 3.37094e-13
1.974e-07, 3.37831e-13
1.9737e-07, 3.38567e-13
1.9734e-07, 3.39305e-13
1.9731e-07, 3.40042e-13
1.9728e-07, 3.40778e-13
1.9725e-07, 3.41514e-13
1.9722e-07, 3.42249e-13
1.9719e-07, 3.42984e-13
1.9716e-07, 3.43719e-13
1.9713e-07, 3.44454e-13
1.971e-07, 3.45189e-13
1.9707e-07, 3.45925e-13
1.9704e-07, 3.46663e-13
1.9701e-07, 3.47403e-13
1.9698e-07, 3.48146e-13
1.9695e-07, 3.48891e-13
1.9692e-07, 3.49637e-13
1.9689e-07, 3.50385e-13
1.9686e-07, 3.51134e-13
1.9683e-07, 3.51885e-13
1.968e-07, 3.52637e-13
1.9677e-07, 3.53392e-13
1.9674e-07, 3.5415e-13
1.9671e-07, 3.5491e-13
1.9668e-07, 3.55671e-13
1.9665e-07, 3.56436e-13
