x, y, z
4.79908, 17.9961, 4.31498
5.0302, 17.0896, 6.08267
6.13725, 18.227, 2.84666
4.16067, 19.6715, 2.65678
2.85826, 19.0532, 1.27067
3.92137, 19.7635, 4.64027
2.09852, 20.8833, 0.999998
3.08737, 17.1028, 6.55725
7.67807, 17.5507, 1.76574
8.15754, 18.4665, 3.47787
8.43117, 15.8635, 0.999998
9.21211, 18.5804, 0.999999
10.5242, 17.3379, 1.85718
-0.125039, 9.70418, 0.999999
1.15677, 8.70731, 5.37911
2.85084, 9.76148, 5.2419
0.256893, 7.60366, 3.97477
0.745542, 8.34954, 2.18617
-1.01281, 7.43283, 2.43522
0.500374, 11.6039, 0.999998
2.28001, 11.5801, 4.63642
-1.98943, 14.185, 3.55613
-0.308438, 13.9649, 4.61718
0.202788, 15.8535, 4.20237
0.231205, 17.1755, 5.70285
1.81769, 17.4085, 4.50754
1.71137, 18.3959, 2.77154
1.04058, 20.2771, 2.87626
2.10358, 15.706, 5.5174
2.21308, 15.5772, 7.51023
0.800501, 14.9988, 8.80253
0.482442, 12.231, 5.22386
-0.934698, 12.1446, 3.81524
0.503992, 11.3651, 7.02657
-1.65733, 10.2798, 3.82994
-0.00546867, 8.98321, 9.04285
-1.94503, 8.60065, 9.34571
-2.78787, 6.94974, 10.0968
0.162008, 8.52123, 7.10416
6.88889, 0.331766, 22.1476
6.52105, -1.1734, 20.8831
8.0849, 0.734102, 20.596
7.20214, 2.40424, 19.9392
6.42706, 2.10519, 18.1199
9.90802, -0.036953, 16.6252
9.51462, 2.06387, 20.1628
12.1838, 1.13198, 20.2811
10.9958, 1.84208, 18.8374
11.6246, 0.749311, 17.2848
11.5777, 0.146646, 15.3784
4.1549, 0.159139, 29.8591
4.11235, -0.687331, 28.0475
4.44268, 0.983413, 26.999
4.60901, 1.36451, 25.0427
1.71122, 1.61099, 24.8176
3.27604, 2.85134, 24.9309
0.69643, 1.02797, 23.1958
5.93758, 1.39654, 23.5481
2.48108, 2.63381, 17.6791
1.97417, 2.87284, 19.599
3.26807, -0.265894, 21.1062
2.08766, -0.472891, 19.505
2.53633, 1.74737, 22.884
2.90306, 1.69156, 20.9187
1.82931, -5.35303, 15.1595
0.405815, -4.07396, 14.5785
2.01475, -4.94647, 17.4118
3.48448, -5.63861, 16.2453
5.17572, -6.85275, 21.5784
2.20727, -6.04207, 19.0739
2.70751, -6.57037, 21.8085
3.848, -6.30256, 20.1875
0.255511, -6.13247, 21.849
0.731032, -6.93925, 20.0818
-0.811908, -5.9921, 19.2319
4.93297, -5.31754, 22.837
5.17012, -4.93538, 25.1448
4.00989, -2.36368, 24.9209
5.10381, -3.53188, 23.7215
4.00166, -2.33597, 26.9207
1.43779, -6.31195, 12.2385
2.88533, -5.80632, 13.5227
8.05207, -5.08911, 23.4594
6.99176, -3.65808, 24.3693
-0.227351, -5.68214, 13.5721
0.229216, -7.59121, 13.1887
-1.69431, 8.16663, 15.4882
-2.28451, 7.43471, 13.723
-2.17677, 7.53654, 17.3241
1.29654, 6.42875, 16.8066
-0.185931, 6.85409, 15.5333
-1.09202, 8.35445, 12.407
0.205131, 8.24282, 10.8888
-3.36766, 4.88824, 12.21
-3.22295, 6.87635, 12.0475
4.45708, 6.38384, 19.9921
4.76813, 7.39573, 21.6889
5.80648, 5.66296, 18.7039
5.92524, 3.92168, 19.6806
2.01597, 7.92311, 18.9416
2.45897, 6.31266, 20.0417
2.57308, 4.7496, 14.9699
1.79991, 4.26907, 16.7507
1.76294, 5.35626, 18.429
-2.1934, -13.999, 3.54138
-3.00634, -15.5357, 4.5302
-4.10199, -11.4847, 3.37781
-2.26149, -10.9697, 2.78849
-5.01126, -11.0915, 5.11521
-1.23564, -12.2799, 3.89804
-0.0319214, -8.79715, 5.96699
-0.789858, -6.98318, 6.33445
-1.58895, -7.51312, 2.94453
-0.34512, -6.90128, 4.38624
-0.142908, -9.60472, 4.14066
0.546005, -11.4739, 4.31781
-1.42285, -7.07583, 1
-1.77846, -2.6522, 7.98768
-1.58687, -4.44934, 8.84417
-0.596754, -5.88975, 10.1029
0.661972, -4.7889, 11.2001
-0.680766, -6.07564, 8.11335
-3.27292, -3.58651, 7.04238
-3.45389, -14.524, 2.08003
-2.37402, -17.2883, 7.21606
-1.43843, -17.2561, 8.98343
-0.516614, -13.9839, 6.80073
-0.564384, -12.2634, 5.78196
-0.10552, -14.76, 8.59755
1.53703, -13.7886, 7.99897
-1.53193, -15.4428, 9.82193
-2.5502, -12.2928, 6.01786
2.46499, -15.2196, 6.95448
3.94689, -14.7379, 5.70073
-4.40061, -13.6508, 8.58773
-2.64999, -12.9761, 7.89488
-5.23255, -15.404, 9.07148
-3.80369, -16.0258, 7.81782
-7.67725, -15.9194, 6.67332
-7.38004, -14.8951, 4.98146
-7.32967, -14.2804, 7.76548
-7.18971, -15.8146, 9.04091
-4.96883, -15.4737, 4.14972
-6.75914, -16.0679, 3.48512
-7.05732, -20.4739, 4.41318
-5.94577, -20.148, 2.78276
-8.50017, -19.3268, 5.18919
-5.02263, -17.2423, 5.08201
-4.90663, -18.8017, 3.83509
-5.78295, -19.2563, 0.999999
