x, y, z
4.75357, 17.9045, 4.27961
4.96029, 16.97, 6.03574
6.11867, 18.1792, 2.84398
4.13112, 19.6024, 2.6383
2.86146, 19.0138, 1.20949
3.84514, 19.654, 4.61707
2.06818, 20.8377, 0.999998
3.00118, 16.8587, 6.42236
7.67265, 17.531, 1.76463
8.13365, 18.4559, 3.47695
8.45732, 15.8578, 0.999998
9.1882, 18.5885, 0.999999
10.5221, 17.3818, 1.87425
0.0607414, 9.63913, 0.999999
2.25981, 8.57124, 4.97902
3.71241, 9.80542, 4.37345
0.950943, 7.5449, 3.86839
1.06184, 8.21877, 1.99013
-0.661933, 7.48165, 2.68256
0.715405, 11.5289, 0.999999
2.77318, 11.4924, 3.85186
-1.81847, 13.6908, 3.81289
0.0603506, 13.6401, 4.49657
0.281039, 15.5744, 4.03897
0.212918, 16.9104, 5.5258
1.8081, 17.2132, 4.35805
1.70718, 18.2745, 2.6659
1.00715, 20.1394, 2.84486
2.1039, 15.4714, 5.29535
2.17469, 15.2532, 7.28215
0.760962, 14.5533, 8.51155
1.13076, 11.994, 4.87694
-0.581957, 11.757, 3.87176
1.68342, 11.1675, 6.61231
-1.10321, 9.8348, 4.05462
2.58135, 8.30611, 8.80994
1.15931, 7.25074, 9.73945
1.30467, 5.45263, 10.603
2.01416, 8.08893, 6.90439
7.42508, 1.1483, 26.7503
7.287, -0.0691164, 25.1695
8.98414, 1.6871, 25.6193
8.08106, 3.04194, 24.4579
8.12555, 2.45211, 22.5474
12.2091, 1.01802, 22.6447
10.1917, 3.2735, 25.4605
12.7706, 3.016, 26.5962
12.06, 3.29087, 24.747
13.3955, 2.24307, 23.6895
14.1454, 1.47835, 22.0004
4.17899, 0.280677, 34.1006
4.06548, -0.420533, 32.231
4.39561, 1.32146, 31.3056
4.74604, 1.81729, 29.3999
1.95555, 1.84452, 28.5508
3.29784, 3.18101, 29.1927
1.23524, 1.58895, 26.7026
6.22676, 2.04727, 28.0753
3.72679, 3.45821, 21.7098
2.85904, 3.6505, 23.5015
4.63036, 0.959846, 25.3509
3.96012, 0.487626, 23.5267
2.95584, 2.59688, 26.8563
3.76343, 2.73368, 25.0317
2.71335, -4.93181, 18.0134
2.80046, -3.32448, 16.8265
3.12836, -3.97479, 20.0589
3.47303, -5.88976, 19.5962
3.9255, -6.01992, 25.1502
2.56229, -4.07079, 21.9747
1.99003, -4.50814, 24.7111
3.48225, -5.01409, 23.4793
1.58106, -1.58491, 24.0666
1.05841, -3.05906, 22.8201
0.757979, -1.72287, 21.3626
3.80889, -4.50018, 26.4451
4.41003, -4.48412, 28.718
3.45275, -1.83983, 29.0363
4.25788, -2.88175, 27.5309
3.88943, -1.97377, 30.9834
1.95277, -6.3213, 15.3497
3.22566, -6.49939, 16.882
6.99493, -4.56131, 26.5963
6.20212, -3.22261, 27.853
1.28435, -4.2846, 15.9436
0.152222, -5.92341, 16.1241
2.44643, 7.51526, 15.7149
2.05723, 6.42155, 14.0863
1.35398, 7.70583, 17.3793
3.88981, 5.45563, 18.4312
3.31551, 5.93302, 16.5758
2.4742, 7.66086, 12.5729
3.11982, 7.93395, 10.6998
2.2392, 3.56851, 12.7544
1.29379, 5.32406, 12.5988
4.68863, 6.05785, 22.713
3.94792, 6.83146, 24.4021
6.5964, 5.68443, 22.243
6.70518, 4.1741, 23.5495
3.09513, 7.21843, 20.3581
2.97052, 5.76925, 21.7308
5.87484, 3.59682, 17.8486
4.2111, 3.31653, 18.9225
3.2766, 4.60455, 20.134
-1.06638, -13.8197, 4.75888
-2.38195, -15.2845, 5.11031
-2.22815, -10.9794, 4.01157
-0.276443, -10.8184, 4.41761
-3.78663, -10.4598, 5.15225
-0.135385, -12.3317, 5.71759
1.20894, -9.09779, 8.5396
1.30656, -7.11169, 8.7538
0.975874, -7.48609, 5.26649
2.0789, -7.40872, 6.93302
1.14482, -9.93174, 6.72291
1.3289, -11.9024, 7.01046
1.68221, -7.40057, 3.39734
2.26165, -2.69568, 10.1902
1.37845, -4.27033, 11.0507
1.274, -5.87578, 12.4828
2.63542, -5.24774, 13.8065
1.49748, -6.19528, 10.5212
0.720822, -2.8904, 8.93009
-1.69002, -13.9775, 2.86517
-3.55621, -17.0542, 7.67925
-3.63577, -17.1537, 9.67519
-1.2279, -14.1354, 8.45951
-0.471246, -12.4537, 7.68541
-1.88858, -14.948, 10.1634
-0.0262573, -14.3082, 10.5132
-3.82396, -15.3353, 10.4863
-2.2881, -12.1019, 6.92695
1.03778, -15.8944, 9.9201
2.99851, -15.7073, 9.573
-5.36069, -13.0837, 8.13831
-3.41267, -12.7526, 8.44741
-6.60031, -14.6474, 8.00242
-4.85975, -15.5402, 7.58626
-7.55294, -14.9306, 4.68006
-6.27701, -14.126, 3.36686
-7.46776, -13.2887, 5.81887
-8.31009, -14.694, 6.96587
-3.8627, -15.0391, 3.78852
-5.21548, -15.5141, 2.39412
-7.24383, -19.4366, 4.53821
-6.09512, -19.5724, 2.90664
-8.49829, -17.9698, 5.06226
-4.75455, -16.5281, 4.78225
-4.86754, -18.2275, 3.73379
-5.80005, -19.0455, 0.999999
