x, y, z
4.92046, 18.3389, 4.45934
5.17231, 17.5496, 6.27962
6.22704, 18.4319, 2.94799
4.22562, 19.8873, 2.70317
2.84094, 19.1792, 1.44573
4.09702, 20.1479, 4.68194
2.14593, 21.0008, 0.999998
3.28594, 17.8434, 6.87567
7.80629, 17.7073, 1.95766
8.22785, 18.9262, 3.4862
8.68352, 15.9799, 1.46089
9.24648, 18.7116, 0.999998
10.6616, 17.6765, 1.96228
-0.956401, 9.97723, 0.999998
-3.04131, 10.3933, 5.15861
-1.30508, 10.6365, 6.12108
-3.44163, 9.22884, 3.58264
-1.75288, 8.98383, 2.54232
-3.51616, 8.93497, 1.60284
0.358369, 11.4515, 1.31291
-0.676689, 12.4622, 5.59956
-2.65521, 16.6819, 3.33882
-1.64913, 15.7471, 4.79279
-0.155346, 17.0642, 4.60846
0.384198, 18.1124, 6.22399
1.88255, 18.0012, 4.90393
1.73325, 18.7449, 3.05334
1.0799, 20.6304, 2.9197
2.07885, 16.4336, 6.1303
2.35574, 16.5704, 8.10629
1.0181, 16.3282, 9.57326
-2.04108, 13.9217, 5.50999
-2.69444, 14.3376, 3.66605
-3.09746, 13.3452, 7.10736
-4.14693, 13.0262, 3.25338
-5.69898, 12.307, 7.18952
-7.40078, 12.7252, 6.22569
-8.80453, 11.4616, 5.56782
-4.73158, 11.2566, 5.78921
2.54125, 2.57265, 8.64589
2.94771, 1.02366, 7.44781
1.78806, 3.146, 6.88406
0.345496, 4.36724, 7.53793
-1.4129, 3.84748, 6.73926
3.15288, 2.14804, 2.91874
1.81222, 4.79681, 5.75523
3.66052, 5.93506, 3.93973
1.96765, 4.88481, 3.76321
2.37927, 3.81306, 2.12554
2.31946, 2.16092, 0.999999
3.59868, -0.251459, 16.3336
3.79705, -0.359663, 14.3464
3.01734, 1.4353, 13.9339
1.94551, 2.14598, 12.4022
-0.270504, 1.22549, 14.0607
0.467455, 2.98373, 13.4574
-1.82698, 0.207451, 13.3252
2.1346, 2.92878, 10.5715
-4.75485, 3.12084, 8.82752
-3.78828, 2.86596, 10.5598
-1.63162, -0.0827238, 9.88798
-3.59588, -0.341739, 9.6149
-0.929883, 1.48711, 12.0772
-2.12471, 1.7576, 10.4963
4.77087, -7.171, 11.3269
4.20043, -8.51912, 12.6897
7.0619, -7.14013, 11.479
5.92792, -5.59335, 10.9119
10.4969, -2.94208, 10.5425
8.90687, -6.55055, 10.9805
10.1513, -4.49016, 12.4685
9.53442, -4.69492, 10.577
11.8805, -7.29646, 12.4363
10.5566, -7.68112, 10.9874
9.84324, -9.22116, 12.0454
8.96009, -1.75566, 11.0227
7.73999, -0.88089, 12.8321
5.45293, -0.496764, 11.2101
7.4284, -0.475636, 10.8986
4.46744, -1.33595, 12.7348
1.90192, -7.36569, 10.1709
3.17007, -6.03173, 10.9534
10.2673, 1.05288, 11.7874
8.26975, 1.13511, 11.7338
3.04322, -9.01346, 11.1352
2.99929, -8.69808, 9.16071
-9.75325, 7.78683, 9.77039
-9.69621, 9.08665, 8.25145
-10.4759, 5.92206, 9.79002
-6.21717, 6.71859, 10.0119
-8.01019, 7.00797, 9.17447
-8.00909, 10.1123, 8.57028
-6.13176, 10.5468, 8.03471
-11.2599, 9.72296, 5.5873
-9.9758, 10.5274, 6.89271
-2.07909, 6.80725, 10.8858
-0.882501, 7.36376, 12.3886
-1.83178, 7.09433, 8.92207
-1.01647, 5.28419, 8.67996
-4.73105, 7.42669, 12.3054
-3.50081, 5.88989, 11.9522
-6.39227, 5.80666, 7.46877
-5.921, 4.72533, 9.08388
-4.99863, 5.31832, 10.7565
-2.68003, -14.783, 3.10223
-3.09895, -16.3718, 4.24254
-4.35042, -12.3465, 4.22752
-3.02425, -11.6877, 2.88323
-4.28114, -12.2047, 6.22128
-1.62271, -13.0865, 3.1641
-0.121346, -10.1618, 5.1435
-1.06339, -8.72996, 6.17424
-1.81354, -8.16841, 2.77826
-0.702936, -7.85577, 4.4119
-0.475393, -10.4234, 3.19256
0.15694, -12.27, 2.75654
-1.54112, -7.29459, 0.999999
-3.56341, -6.42146, 9.47646
-2.36187, -8.01982, 9.51545
-0.551101, -9.05365, 10.0559
0.464496, -7.9917, 11.4126
-0.990847, -8.56764, 8.16631
-4.61315, -7.60525, 8.25309
-4.40418, -15.226, 2.1906
-1.57904, -18.3004, 6.33684
-0.0190241, -18.4076, 7.58377
0.160315, -15.0265, 5.39397
-0.210406, -13.2414, 4.57172
1.18858, -15.9241, 6.85578
2.52116, -14.9481, 5.72815
0.305179, -16.6564, 8.49385
-1.97799, -13.2878, 5.5063
2.92972, -16.3301, 4.34143
3.85023, -15.8011, 2.64651
-2.78615, -14.7074, 8.5401
-1.39799, -14.0218, 7.27402
-3.40995, -16.4695, 9.2513
-2.60816, -17.0541, 7.51482
-6.6115, -16.7966, 7.994
-6.94507, -15.6693, 6.376
-5.80987, -15.237, 8.95585
-5.23196, -16.8542, 9.98088
-5.0486, -16.2561, 4.67316
-6.98619, -16.7513, 4.69443
-7.08223, -21.0982, 4.20831
-5.97867, -20.5833, 2.62182
-8.43638, -20.0051, 5.19393
-4.83313, -18.1362, 5.32027
-4.8381, -19.489, 3.84724
-5.78784, -19.4286, 0.999998
