x, y, z
5.10296, 18.6639, 4.47644
5.54073, 18.1623, 6.36236
6.27543, 18.5794, 2.85837
4.09062, 19.8584, 2.60226
2.57388, 18.938, 1.67899
4.2136, 20.455, 4.5072
1.7949, 20.6504, 0.999999
3.79971, 18.7779, 7.13041
7.68837, 17.6735, 1.77074
8.31078, 18.5007, 3.48198
8.16728, 15.8912, 0.999999
9.3609, 18.4536, 0.999998
10.4239, 16.8713, 1.60515
2.06633, 11.6399, 7.37875
2.58643, 12.5675, 11.9262
3.75406, 13.9986, 11.1591
1.63214, 11.091, 10.9726
2.4748, 10.8611, 9.17503
0.540518, 10.4278, 9.42986
3.43612, 12.7289, 6.41039
2.94084, 14.4341, 9.38454
-1.35582, 15.1266, 6.70661
0.16013, 15.873, 7.77653
0.530863, 17.2011, 6.32779
0.827761, 19.1089, 6.84925
2.09445, 18.5517, 5.40532
1.68326, 18.81, 3.46516
0.809702, 20.5425, 2.98031
2.42364, 17.3366, 6.95947
3.01015, 17.9495, 8.77065
1.90527, 18.2141, 10.4166
1.02442, 15.0056, 9.35783
-0.168556, 13.8642, 8.22905
0.879974, 15.411, 11.311
-0.450262, 12.153, 9.22515
2.81878, 12.9005, 15.7582
2.28518, 11.2616, 16.7727
3.40992, 9.68683, 17.2777
2.32277, 12.3594, 13.8978
5.76534, 0.833614, 34.0742
4.78945, 0.669331, 32.3362
7.23415, 0.532343, 32.7506
6.88904, 2.08217, 31.5345
6.51005, 1.43346, 29.681
9.45181, -1.82436, 29.7319
8.99174, 1.37637, 32.3052
11.3203, 0.106751, 33.2916
10.5749, 0.480618, 31.4737
11.1757, -1.15695, 30.4953
11.2952, -2.34705, 28.8924
4.31093, 0.462403, 42.2678
4.11731, -0.26802, 40.4161
4.52168, 1.43456, 39.4477
4.51392, 1.94806, 37.5148
1.99128, 3.18212, 36.7261
3.6451, 3.73965, 37.7028
1.11534, 4.05721, 35.1554
5.5779, 1.77195, 35.8304
3.24879, 5.02213, 30.0488
3.0436, 5.51336, 31.9766
4.12096, 2.24396, 33.3724
3.15943, 2.18311, 31.6198
3.11463, 4.09311, 35.1941
3.77274, 4.21239, 33.3092
0.686107, -5.47536, 26.4123
1.6453, -4.26458, 25.1419
1.40206, -4.55588, 28.3907
0.719778, -6.42327, 28.1731
2.40703, -5.99308, 33.6249
1.1081, -4.19438, 30.3357
0.529965, -4.43746, 33.0949
1.99665, -5.07703, 31.895
1.02141, -1.23279, 31.991
0.00736831, -2.7177, 31.1153
-0.194061, -1.60862, 29.4633
2.60263, -4.36904, 34.7756
3.56235, -4.46987, 36.9196
2.94805, -1.75121, 37.4112
3.38659, -2.83146, 35.7862
3.82864, -1.83333, 39.2051
-0.38405, -6.78484, 23.8151
0.562889, -7.25713, 25.5123
5.74531, -4.76251, 34.4102
5.31148, -3.37437, 35.7831
-0.0226964, -4.60769, 24.0931
-1.81631, -5.47103, 24.2868
2.55902, 10.2867, 22.8129
3.07064, 9.75278, 20.9546
1.04395, 9.61311, 23.9313
4.01522, 8.04562, 25.3743
3.65217, 8.78334, 23.5511
2.71938, 11.3994, 19.8752
3.01247, 12.456, 18.2026
5.08558, 8.08317, 19.1941
3.28567, 8.95305, 19.1341
4.88438, 6.07634, 29.5867
4.46349, 6.79983, 31.4031
6.36375, 4.84366, 29.0464
6.04591, 3.64621, 30.6164
4.25399, 8.64758, 28.03
3.38896, 6.9258, 28.5659
5.98331, 6.71304, 23.9338
4.43291, 5.91645, 24.9144
3.57928, 6.53729, 26.6132
-1.2316, -10.2811, 9.59006
-2.21632, -11.3685, 8.2307
-1.47955, -7.14282, 9.53758
-0.628061, -7.71036, 11.256
-3.36145, -6.54764, 9.21479
-1.49148, -9.50728, 11.4159
-1.21253, -8.09622, 15.9268
-0.996934, -6.39889, 16.9625
-1.82382, -5.25787, 13.7337
-0.496084, -5.86066, 15.1025
-1.19658, -8.0866, 13.9269
-1.63523, -9.95377, 13.3601
-1.38411, -4.36731, 11.9977
0.819437, -3.15401, 19.9046
-0.265973, -4.81238, 20.1723
-0.549103, -6.84019, 20.8405
0.811959, -6.43895, 22.2499
-0.524012, -6.33773, 18.9048
-0.813048, -2.60093, 18.8902
-0.182067, -9.62345, 8.01973
-4.33622, -14.0153, 8.44129
-5.98402, -14.6236, 9.3977
-4.07117, -11.8071, 11.5535
-3.24317, -10.0976, 12.1795
-5.74141, -12.9018, 11.6632
-5.09893, -12.6394, 13.539
-7.01349, -13.0728, 10.1294
-3.74961, -9.31841, 10.4085
-3.8864, -14.216, 13.7489
-2.58188, -14.2766, 15.2637
-6.37835, -10.1564, 8.34457
-5.52335, -10.2061, 10.1519
-6.7682, -11.4249, 6.8483
-5.25586, -12.3842, 7.73863
-4.77099, -10.3312, 4.12037
-3.194, -9.18004, 4.55393
-5.91669, -9.29799, 5.39311
-6.97436, -10.9287, 4.92185
-1.95187, -10.4474, 6.47526
-1.47956, -10.2099, 4.5464
-4.15961, -14.7927, 3.60203
-2.89605, -13.7874, 2.42185
-5.9708, -14.2415, 4.24676
-3.10368, -11.9075, 5.73945
-2.45667, -12.6232, 3.98753
-2.65258, -12.4021, 1.00001
