x, y, z
4.81234, 18.0299, 4.32469
5.04952, 17.1268, 6.09336
6.14059, 18.2439, 2.84484
4.16619, 19.7014, 2.6655
2.84679, 19.0702, 1.30139
3.95352, 19.8063, 4.65138
2.10513, 20.903, 0.999998
3.11928, 17.2129, 6.60983
7.67773, 17.5576, 1.76499
8.16198, 18.4706, 3.47724
8.42052, 15.8655, 0.999998
9.21877, 18.5773, 0.999999
10.5222, 17.323, 1.85305
-0.243198, 9.74631, 0.999999
0.410167, 8.84543, 5.53611
2.17298, 9.78222, 5.65814
-0.302204, 7.71638, 4.0469
0.43788, 8.41308, 2.32613
-1.34993, 7.52018, 2.35123
0.450085, 11.6223, 0.999998
1.81479, 11.6426, 5.01736
-2.14721, 14.5374, 3.50903
-0.579466, 14.2034, 4.70509
0.118515, 16.0344, 4.30465
0.242309, 17.3476, 5.80804
1.81346, 17.5075, 4.58088
1.704, 18.4555, 2.82327
1.04659, 20.3432, 2.88845
2.07004, 15.8224, 5.62716
2.21995, 15.7394, 7.6198
0.819436, 15.2376, 8.95647
0.0138078, 12.424, 5.39924
-1.24029, 12.4241, 3.8413
-0.226969, 11.5761, 7.19453
-2.09219, 10.6156, 3.77953
-1.33906, 9.36922, 8.9296
-3.33551, 9.26628, 8.86982
-4.51389, 7.6891, 9.22181
-0.886738, 8.82665, 7.0585
6.543, 0.0476051, 19.317
6.25195, -1.59305, 18.2109
7.43148, 0.500138, 17.5833
6.36697, 2.12122, 17.0945
5.33153, 1.78637, 15.4165
8.57057, -0.195188, 13.3511
8.69727, 1.89643, 16.9138
11.3883, 1.09559, 16.5619
9.93445, 1.74178, 15.3501
10.3359, 0.674962, 13.7067
9.98784, 0.0639699, 11.8344
4.18963, 0.0576534, 27.2723
4.35064, -0.920748, 25.5354
4.48731, 0.696027, 24.366
4.44558, 0.962892, 22.3844
1.53228, 0.81703, 22.3829
2.92065, 2.25456, 22.306
0.466064, 0.0311252, 20.8844
5.63528, 1.0653, 20.78
1.30384, 2.42911, 15.3762
1.03749, 2.38238, 17.3579
2.67523, -0.81488, 18.3026
1.26318, -0.926186, 16.8906
2.15869, 0.968013, 20.3772
2.20966, 1.12845, 18.3843
2.0731, -6.77572, 14.8038
0.176567, -6.14114, 14.8245
2.57388, -7.11277, 17.0192
3.89991, -6.62483, 15.6038
7.05423, -7.59495, 20.2724
3.66343, -8.19391, 18.3014
4.72418, -8.20352, 20.9248
5.42697, -7.71859, 19.1162
2.71269, -9.76965, 21.153
3.10389, -9.89316, 19.1955
1.14663, -9.79511, 18.7961
6.57709, -5.92889, 21.2707
6.43474, -5.10843, 23.4694
5.00884, -2.81975, 22.6101
6.3981, -4.0084, 21.7995
4.52719, -2.64856, 24.5437
1.46521, -6.8511, 11.7657
2.84604, -6.19229, 13.0539
9.52454, -5.13021, 22.1905
8.17587, -3.73476, 22.674
0.0150933, -7.46703, 13.3359
1.08075, -8.75588, 12.239
-3.74734, 7.39738, 14.8041
-4.29383, 7.27034, 12.8844
-4.00701, 6.05776, 16.2663
-0.298982, 6.1615, 15.3377
-2.02854, 6.46651, 14.3808
-2.85109, 8.26027, 11.9156
-1.35194, 8.25701, 10.5918
-5.84357, 5.49278, 10.7902
-5.16048, 7.34946, 11.0837
3.54249, 5.96861, 17.7402
4.10425, 7.00132, 19.3582
4.66398, 5.34652, 16.2055
4.98503, 3.56654, 17.059
0.871686, 7.44613, 17.4002
1.60223, 5.75311, 18.1748
0.687653, 4.90912, 13.0191
0.370332, 4.10972, 14.8247
0.633594, 4.94529, 16.6226
-2.30116, -14.3008, 3.47965
-3.01147, -15.8566, 4.51648
-4.24529, -11.8099, 3.58204
-2.48489, -11.2566, 2.81081
-4.9674, -11.4663, 5.4152
-1.33076, -12.5767, 3.77271
-0.199451, -9.22098, 5.84617
-1.11476, -7.51628, 6.35231
-1.72918, -7.75665, 2.89174
-0.598206, -7.20335, 4.44568
-0.249819, -9.89256, 3.96297
0.476122, -11.7553, 4.01861
-1.48338, -7.15592, 0.999999
-2.86247, -3.63153, 8.4337
-2.33382, -5.44091, 9.10201
-1.07751, -6.79218, 10.2135
-0.0430437, -5.58271, 11.4247
-1.15202, -6.78861, 8.21486
-4.16875, -4.72319, 7.384
-3.6798, -14.821, 2.12734
-2.06161, -17.6647, 7.07388
-0.939614, -17.6644, 8.7295
-0.286523, -14.3348, 6.54124
-0.461542, -12.5931, 5.57388
0.322612, -15.145, 8.26537
1.88134, -14.1393, 7.51773
-0.957335, -15.873, 9.61874
-2.41018, -12.6536, 6.02012
2.7067, -15.5345, 6.3463
4.0402, -15.0057, 4.95271
-3.95919, -14.0837, 8.7455
-2.30048, -13.3734, 7.88287
-4.71822, -15.857, 9.27403
-3.42872, -16.4334, 7.85809
-7.41251, -16.306, 7.14541
-7.30541, -15.2144, 5.47305
-6.95672, -14.7074, 8.25739
-6.66343, -16.2889, 9.44601
-5.00375, -15.7717, 4.36296
-6.86136, -16.3254, 3.87043
-7.04786, -20.7524, 4.33523
-5.94422, -20.3332, 2.72086
-8.4693, -19.6409, 5.19776
-4.96505, -17.5914, 5.19188
-4.87923, -19.0734, 3.85163
-5.78271, -19.327, 0.999999
