x, y, z
4.91899, 18.3341, 4.45755
5.17043, 17.5432, 6.27725
6.22613, 18.4289, 2.94681
4.2248, 19.8839, 2.70246
2.84105, 19.1771, 1.44326
4.09471, 20.1425, 4.6814
2.14541, 20.9991, 0.999998
3.28308, 17.8335, 6.87191
7.80571, 17.7054, 1.95614
8.22677, 18.9227, 3.48614
8.68316, 15.9787, 1.45772
9.24612, 18.7109, 0.999998
10.661, 17.6754, 1.96219
-0.941006, 9.97246, 0.999998
-2.97143, 10.3445, 5.18963
-1.2253, 10.6041, 6.12963
-3.37945, 9.18168, 3.61442
-1.70276, 8.96255, 2.54912
-3.47851, 8.89518, 1.63461
0.360935, 11.4606, 1.30052
-0.619447, 12.4344, 5.59767
-2.6516, 16.6327, 3.34752
-1.62935, 15.7097, 4.7977
-0.150646, 17.0427, 4.60633
0.381951, 18.1002, 6.21811
1.88147, 17.9931, 4.89904
1.73278, 18.7398, 3.04966
1.07905, 20.6255, 2.91894
2.07859, 16.4235, 6.12278
2.35331, 16.5571, 8.0993
1.0145, 16.3105, 9.56448
-1.99857, 13.8806, 5.51752
-2.66861, 14.2901, 3.67814
-3.03827, 13.2939, 7.12211
-4.11114, 12.9646, 3.27547
-5.6255, 12.2121, 7.2676
-7.33996, 12.6265, 6.32482
-8.73134, 11.3575, 5.65127
-4.66296, 11.1855, 5.84646
2.78755, 2.42737, 8.71105
3.15816, 0.858903, 7.52677
2.09401, 3.0224, 6.93201
0.621936, 4.22613, 7.55168
-1.10667, 3.6995, 6.69463
3.14356, 1.97889, 2.91679
2.14846, 4.68968, 5.82873
4.02762, 5.73094, 3.98689
2.26144, 4.80489, 3.83523
2.55705, 3.73871, 2.16913
2.31995, 2.13342, 0.999999
3.62453, -0.246684, 16.5053
3.89155, -0.413556, 14.5303
3.13897, 1.37319, 14.0392
2.11221, 2.0415, 12.4583
-0.156231, 1.08985, 14.0258
0.575991, 2.85798, 13.4449
-1.67501, 0.0505224, 13.2429
2.35522, 2.80686, 10.6266
-4.54734, 2.99408, 8.72742
-3.61094, 2.72626, 10.4743
-1.41617, -0.195476, 9.80815
-3.37275, -0.468422, 9.49628
-0.768361, 1.35485, 12.0277
-1.93665, 1.63327, 10.4284
4.79035, -7.30213, 11.3907
4.15038, -8.62667, 12.7457
7.07575, -7.32898, 11.6123
6.00032, -5.7593, 10.9962
10.6464, -3.20366, 10.879
8.95294, -6.7774, 11.1977
10.193, -4.77358, 12.7645
9.64037, -4.93192, 10.8489
11.8469, -7.61648, 12.7595
10.5737, -7.94792, 11.2532
9.78173, -9.48505, 12.2582
9.12449, -1.98774, 11.332
7.88785, -1.09191, 13.1198
5.64409, -0.648937, 11.4529
7.62552, -0.67224, 11.182
4.61127, -1.43998, 12.9719
1.93842, -7.427, 10.1841
3.23116, -6.12106, 10.9736
10.48, 0.786954, 12.1353
8.48632, 0.915483, 12.0411
3.01919, -9.10429, 11.167
3.01273, -8.79118, 9.19168
-9.60017, 7.57897, 9.77857
-9.57104, 8.91356, 8.28928
-10.2962, 5.70409, 9.76004
-6.04986, 6.54977, 9.97693
-7.84999, 6.83886, 9.15479
-7.89768, 9.95702, 8.62248
-6.0306, 10.4328, 8.08623
-11.1655, 9.58927, 5.65322
-9.87972, 10.3803, 6.96512
-1.8962, 6.63543, 10.846
-0.724577, 7.20647, 12.363
-1.6262, 6.92086, 8.88499
-0.782095, 5.12185, 8.65909
-4.55562, 7.23918, 12.2583
-3.32278, 5.70664, 11.8959
-6.21104, 5.69707, 7.41036
-5.73031, 4.58341, 9.00052
-4.81426, 5.14647, 10.6869
-2.67774, -14.7874, 3.09592
-3.09326, -16.3779, 4.23499
-4.35038, -12.3487, 4.21388
-3.02139, -11.6923, 2.87112
-4.28499, -12.2036, 6.20753
-1.62053, -13.0908, 3.15744
-0.115762, -10.1676, 5.14062
-1.05577, -8.73525, 6.17247
-1.80978, -8.17051, 2.77787
-0.696101, -7.86097, 4.41002
-0.471562, -10.4284, 3.18988
0.160065, -12.2749, 2.75259
-1.53899, -7.2954, 0.999999
-3.52727, -6.3953, 9.47407
-2.34566, -8.00844, 9.51342
-0.547853, -9.06446, 10.0542
0.473086, -8.01101, 11.4136
-0.981394, -8.57343, 8.16452
-4.59149, -7.56616, 8.25076
-4.40431, -15.2292, 2.18836
-1.55829, -18.311, 6.3198
0.00724856, -18.4203, 7.55961
0.170989, -15.033, 5.37767
-0.204369, -13.2463, 4.56111
1.20818, -15.9337, 6.83129
2.5336, -14.9535, 5.6988
0.334599, -16.6711, 8.47233
-1.9646, -13.2924, 5.50949
2.93543, -16.3315, 4.30607
3.84591, -15.7972, 2.6074
-2.75255, -14.7257, 8.5422
-1.37265, -14.0367, 7.26894
-3.37528, -16.49, 9.24869
-2.5819, -17.0682, 7.5062
-6.58376, -16.8097, 8.00488
-6.92545, -15.6762, 6.39291
-5.77534, -15.2544, 8.96788
-5.19449, -16.8757, 9.98471
-5.04036, -16.2597, 4.67639
-6.97853, -16.7522, 4.70784
-7.08214, -21.0953, 4.2097
-5.97929, -20.583, 2.62188
-8.43223, -19.999, 5.19723
-4.82408, -18.1407, 5.32062
-4.83436, -19.4918, 3.84601
-5.78758, -19.4285, 0.999998
