x, y, z
4.92491, 18.3535, 4.46468
5.17815, 17.5689, 6.28684
6.22976, 18.441, 2.95152
4.2281, 19.8971, 2.70506
2.84081, 19.185, 1.45271
4.10357, 20.1639, 4.68325
2.14725, 21.0055, 0.999998
3.29434, 17.8717, 6.88646
7.80801, 17.7128, 1.96214
8.23114, 18.9366, 3.48638
8.68447, 15.9837, 1.47017
9.24756, 18.7138, 0.999998
10.6633, 17.6798, 1.96256
-0.995282, 9.98965, 0.999998
-3.2152, 10.5236, 5.0744
-1.50689, 10.7252, 6.09469
-3.59596, 9.35363, 3.49767
-1.87945, 9.0414, 2.52283
-3.60806, 9.03829, 1.5198
0.352581, 11.4264, 1.34479
-0.821752, 12.5384, 5.60173
-2.66337, 16.8123, 3.32
-1.69805, 15.847, 4.78159
-0.166598, 17.1225, 4.61513
0.390955, 18.146, 6.2404
1.88616, 18.0242, 4.91771
1.73493, 18.7591, 3.06379
1.08251, 20.6443, 2.92199
2.08079, 16.4621, 6.1514
2.36343, 16.6079, 8.12593
1.02897, 16.3773, 9.59767
-2.14751, 14.0317, 5.49055
-2.75923, 14.4646, 3.63628
-3.24464, 13.481, 7.06949
-4.23685, 13.19, 3.19814
-5.87571, 12.5577, 6.98074
-7.54464, 12.983, 5.964
-8.98081, 11.7358, 5.34612
-4.89912, 11.445, 5.63606
1.8047, 2.85997, 8.38661
2.24199, 1.35183, 7.14795
0.883879, 3.37957, 6.68893
-0.44232, 4.67909, 7.43219
-2.28605, 4.21351, 6.81263
3.03624, 2.61376, 2.92202
0.836282, 4.97599, 5.4851
2.59836, 6.34786, 3.74701
1.14304, 4.99683, 3.50887
1.87891, 3.94295, 1.9766
2.2957, 2.2481, 0.999998
3.55007, -0.25888, 15.7612
3.53973, -0.234717, 13.7614
2.7003, 1.56849, 13.5521
1.49712, 2.36921, 12.1696
-0.545628, 1.54335, 14.0812
0.207412, 3.26862, 13.4056
-2.20445, 0.591952, 13.4954
1.51211, 3.17611, 10.3397
-5.30636, 3.45666, 9.08286
-4.24247, 3.2251, 10.7605
-2.23812, 0.175815, 10.0665
-4.22362, -0.0184149, 9.92492
-1.34414, 1.79374, 12.148
-2.62642, 2.05349, 10.6353
4.68579, -6.82635, 11.1985
4.31626, -8.16348, 12.6392
6.9747, -6.66003, 11.1198
5.7, -5.19301, 10.6476
10.0104, -2.34665, 9.54969
8.71066, -6.00331, 10.3747
9.96747, -3.77928, 11.592
9.17182, -4.14584, 9.7941
11.8703, -6.4918, 11.5134
10.4174, -7.0388, 10.2525
9.92477, -8.54634, 11.471
8.4532, -1.22097, 10.1047
7.29733, -0.378841, 11.9709
4.90025, -0.147439, 10.4844
6.84959, -0.0269018, 10.0537
4.04827, -1.09226, 12.0276
1.79449, -7.20485, 10.1487
2.98901, -5.80276, 10.928
9.64931, 1.66615, 10.7473
7.6505, 1.64168, 10.8116
3.02336, -8.83002, 11.0409
2.95277, -8.43712, 9.08111
-10.1277, 8.33742, 9.72757
-10.0012, 9.54441, 8.13787
-10.9225, 6.50581, 9.84308
-6.62884, 7.1779, 10.0697
-8.40897, 7.4596, 9.20268
-8.27918, 10.5211, 8.42188
-6.37906, 10.8496, 7.89117
-11.4902, 10.0772, 5.40899
-10.2075, 10.9141, 6.6952
-2.52051, 7.26993, 10.9117
-1.24078, 7.79442, 12.3564
-2.35188, 7.53953, 8.93715
-1.65577, 5.68465, 8.6636
-5.13491, 7.96182, 12.367
-3.92207, 6.4043, 12.0458
-6.87018, 6.08673, 7.60835
-6.40987, 5.11142, 9.29265
-5.4507, 5.79641, 10.9084
-2.68453, -14.7723, 3.11193
-3.11434, -16.3543, 4.25759
-4.34667, -12.3375, 4.25203
-3.02671, -11.676, 2.90293
-4.26771, -12.2005, 6.24576
-1.62513, -13.077, 3.17258
-0.126177, -10.1527, 5.14418
-1.07559, -8.72638, 6.17578
-1.82025, -8.16699, 2.77823
-0.716407, -7.84805, 4.41524
-0.477641, -10.4138, 3.19271
0.153145, -12.2612, 2.7576
-1.54557, -7.29382, 0.999998
-3.64521, -6.50784, 9.48665
-2.39318, -8.0671, 9.51992
-0.549229, -9.04285, 10.0561
0.437772, -7.95418, 11.4128
-1.0064, -8.56672, 8.16819
-4.65734, -7.7207, 8.26005
-4.40251, -15.2176, 2.18986
-1.63231, -18.2632, 6.39193
-0.0902052, -18.3584, 7.66189
0.133126, -15.0031, 5.43802
-0.22424, -13.2263, 4.59215
1.13492, -15.8855, 6.92723
2.48804, -14.9241, 5.81157
0.222574, -16.5981, 8.55813
-2.01158, -13.2694, 5.48856
2.91872, -16.3226, 4.44823
3.86933, -15.8143, 2.7636
-2.87707, -14.6423, 8.52803
-1.46576, -13.9701, 7.2805
-3.50547, -16.3956, 9.25669
-2.67851, -17.0033, 7.54006
-6.68686, -16.7456, 7.95996
-6.99683, -15.6399, 6.3225
-5.90377, -15.1721, 8.91433
-5.33612, -16.7751, 9.96714
-5.0704, -16.2424, 4.65923
-7.00668, -16.7431, 4.65431
-7.0826, -21.1042, 4.20516
-5.97698, -20.5827, 2.62223
-8.44834, -20.0201, 5.18469
-4.85907, -18.1191, 5.3173
-4.84893, -19.479, 3.85077
-5.78859, -19.4282, 0.999998
