dz, F
1.60577e-07, 7.87294e-11
1.60582e-07, 7.84303e-11
1.60587e-07, 7.81339e-11
1.60593e-07, 7.78435e-11
1.60599e-07, 7.7562e-11
1.60606e-07, 7.72913e-11
1.60613e-07, 7.70332e-11
1.60621e-07, 7.67902e-11
1.60629e-07, 7.65651e-11
1.60638e-07, 7.63598e-11
1.60647e-07, 7.61781e-11
1.60657e-07, 7.60223e-11
1.60668e-07, 7.58947e-11
1.60679e-07, 7.57962e-11
1.6069e-07, 7.57288e-11
1.60702e-07, 7.56942e-11
1.60715e-07, 7.56933e-11
1.60728e-07, 7.57254e-11
1.60742e-07, 7.57907e-11
1.60756e-07, 7.58911e-11
1.60771e-07, 7.60251e-11
1.60786e-07, 7.61962e-11
1.60802e-07, 7.64043e-11
1.60818e-07, 7.66519e-11
1.60835e-07, 7.69419e-11
1.60852e-07, 7.72741e-11
1.6087e-07, 7.76486e-11
1.60888e-07, 7.80659e-11
1.60907e-07, 7.85243e-11
1.60927e-07, 7.90202e-11
1.60946e-07, 7.95574e-11
1.60967e-07, 8.01382e-11
1.60988e-07, 8.07634e-11
1.61009e-07, 8.14328e-11
1.61031e-07, 8.2146e-11
1.61054e-07, 8.2902e-11
1.61077e-07, 8.37e-11
1.611e-07, 8.45387e-11
1.61124e-07, 8.54193e-11
1.61149e-07, 8.63425e-11
1.61174e-07, 8.73062e-11
1.61199e-07, 8.83101e-11
1.61225e-07, 8.93525e-11
1.61251e-07, 9.0434e-11
1.61278e-07, 9.15539e-11
1.61306e-07, 9.27122e-11
1.61334e-07, 9.39089e-11
1.61362e-07, 9.51433e-11
1.61391e-07, 9.64124e-11
1.61421e-07, 9.77162e-11
1.6145e-07, 9.90543e-11
1.61481e-07, 1.00428e-10
1.61512e-07, 1.01836e-10
1.61543e-07, 1.03277e-10
1.61575e-07, 1.04751e-10
1.61607e-07, 1.06257e-10
1.6164e-07, 1.07793e-10
1.61673e-07, 1.09358e-10
1.61706e-07, 1.10949e-10
1.61741e-07, 1.12563e-10
1.61775e-07, 1.14197e-10
1.6181e-07, 1.1585e-10
1.61846e-07, 1.1752e-10
1.61882e-07, 1.19209e-10
1.61918e-07, 1.20914e-10
1.61955e-07, 1.22634e-10
1.61992e-07, 1.24366e-10
1.6203e-07, 1.2611e-10
1.62068e-07, 1.27864e-10
1.62107e-07, 1.29626e-10
1.62146e-07, 1.31394e-10
1.62185e-07, 1.33167e-10
1.62225e-07, 1.34942e-10
1.62266e-07, 1.36721e-10
1.62307e-07, 1.38497e-10
1.62348e-07, 1.40268e-10
1.62389e-07, 1.4203e-10
1.62431e-07, 1.43787e-10
1.62474e-07, 1.45535e-10
1.62517e-07, 1.47276e-10
1.6256e-07, 1.49007e-10
1.62604e-07, 1.5073e-10
1.62648e-07, 1.52444e-10
1.62693e-07, 1.54149e-10
1.62738e-07, 1.55843e-10
1.62783e-07, 1.57528e-10
1.62829e-07, 1.59202e-10
1.62875e-07, 1.60866e-10
1.62922e-07, 1.62519e-10
1.62969e-07, 1.64162e-10
1.63016e-07, 1.65795e-10
1.63064e-07, 1.67419e-10
1.63112e-07, 1.69031e-10
1.6316e-07, 1.7063e-10
1.63209e-07, 1.72215e-10
1.63259e-07, 1.73787e-10
1.63308e-07, 1.75348e-10
1.63358e-07, 1.76892e-10
1.63409e-07, 1.78422e-10
1.6346e-07, 1.79936e-10
1.63511e-07, 1.81436e-10
1.63562e-07, 1.82923e-10
1.63614e-07, 1.84395e-10
1.63666e-07, 1.85853e-10
1.63719e-07, 1.87297e-10
1.63772e-07, 1.88728e-10
1.63825e-07, 1.90144e-10
1.63879e-07, 1.91546e-10
1.63933e-07, 1.92934e-10
1.63987e-07, 1.94308e-10
1.64042e-07, 1.9567e-10
1.64097e-07, 1.97019e-10
1.64152e-07, 1.98355e-10
1.64208e-07, 1.99673e-10
1.64264e-07, 2.00974e-10
1.6432e-07, 2.02261e-10
1.64377e-07, 2.03535e-10
1.64434e-07, 2.04792e-10
1.64491e-07, 2.0603e-10
1.64549e-07, 2.07252e-10
1.64607e-07, 2.0846e-10
1.64665e-07, 2.09653e-10
1.64724e-07, 2.10832e-10
1.64783e-07, 2.11999e-10
