x, y, z
9.41056, 15.4576, 6.41025
11.2524, 15.4857, 7.18915
8.78843, 16.1755, 4.65022
7.25371, 14.4806, 7.00984
7.06896, 12.6398, 7.76954
8.13721, 16.0811, 7.82085
5.0752, 12.6484, 7.61203
10.6723, 15.081, 9.05988
8.93904, 16.2912, 2.65926
10.649, 16.5187, 3.67123
8.60355, 15.2261, 0.999999
9.6105, 17.8103, 1.54518
11.2173, 16.7516, 0.999998
10.3533, 12.1058, 16.3643
8.32723, 13.3851, 20.3761
7.95411, 15.0175, 19.2826
9.41524, 11.779, 19.8896
10.5865, 12.2635, 18.3444
9.96602, 10.3771, 18.5694
10.3829, 13.7365, 15.2068
8.73916, 14.627, 17.485
8.91128, 11.5568, 13.5201
8.15579, 13.2337, 14.3058
8.69563, 14.2464, 12.6678
7.60298, 15.8352, 12.137
8.32674, 14.8896, 10.5301
7.29993, 13.4614, 9.57829
5.31172, 13.6777, 9.56267
9.90293, 15.4526, 11.625
10.8193, 17.2228, 11.4624
10.7951, 18.7622, 12.7391
7.65764, 13.5155, 16.2222
8.48439, 11.7586, 15.7426
5.88163, 13.868, 17.0716
8.38064, 10.6024, 17.3711
7.14908, 14.1025, 23.9743
7.35342, 12.5866, 25.2628
8.80745, 12.275, 26.6002
7.71259, 13.2169, 22.2719
8.34223, 3.53954, 44.1242
8.49015, 3.22457, 42.1547
10.0934, 4.38416, 43.6553
9.54708, 5.34413, 41.988
10.5225, 4.59615, 40.4103
14.3783, 4.3513, 42.5179
10.8876, 6.21901, 43.7058
12.6574, 6.78309, 45.8404
12.8281, 6.68145, 43.8503
14.6808, 5.94657, 43.6857
16.2557, 5.26316, 42.6596
4.48226, 0.510409, 50.7101
5.07357, 0.198346, 48.8252
4.93342, 2.09835, 48.2166
5.39065, 3.02772, 46.5057
3.36493, 3.3737, 44.4356
3.69307, 4.0618, 46.2846
2.5934, 4.33991, 42.8636
6.92639, 3.82978, 45.5066
5.87232, 5.7886, 38.6716
4.81675, 6.2335, 40.3111
6.70075, 3.99766, 42.6023
6.70756, 3.49397, 40.6668
4.31812, 5.0496, 43.5858
5.50429, 5.49815, 42.0393
8.58214, 1.4155, 34.2303
9.1569, 3.33106, 34.2143
8.17581, 1.20954, 36.4808
8.53828, -0.312965, 35.2356
8.21233, -2.34625, 40.6973
7.16519, 0.339553, 37.9713
6.04779, -1.58809, 39.7154
7.88268, -0.85508, 39.4059
4.92807, 1.69357, 40.1347
5.25075, 0.660306, 38.453
4.95908, 2.3196, 37.3752
7.2179, -1.60024, 42.264
7.47442, -2.53882, 44.4044
5.44009, -0.88082, 45.4641
6.7908, -0.703341, 43.9998
5.78346, -1.04381, 47.4277
9.02371, 1.47768, 31.1633
9.63215, 0.497388, 32.797
10.0753, -0.714117, 43.3689
8.63745, -0.51831, 44.7453
8.30635, 3.17372, 32.411
7.0923, 1.92325, 31.43
5.3728, 10.5658, 30.7262
6.87788, 11.0776, 29.5126
4.52876, 8.77005, 30.977
6.56417, 9.42245, 34.0393
6.68531, 10.0453, 32.1426
5.99184, 12.1798, 28.0983
6.1391, 13.4743, 26.581
9.92966, 11.8589, 29.3606
8.41392, 11.1953, 28.2371
6.94989, 7.46211, 38.4762
5.70442, 7.9889, 39.9497
8.8388, 6.81839, 38.609
8.51573, 5.9959, 40.4032
5.81712, 9.73673, 36.7513
5.72254, 7.74635, 36.9229
9.26534, 9.80514, 33.5378
8.3418, 8.09639, 34.0145
6.77054, 7.82222, 35.2211
13.8581, 7.92322, 18.892
14.554, 8.04467, 17.0209
10.6288, 8.50275, 18.7874
11.2481, 7.94475, 20.6054
9.45893, 7.50578, 17.5078
12.7311, 6.7301, 20.0349
11.0946, 4.67759, 23.9648
9.69699, 4.99599, 25.3595
8.55363, 6.92418, 22.6419
9.66158, 6.68543, 24.2897
11.2283, 5.86057, 22.3578
12.7761, 5.17556, 21.2925
8.17907, 8.66565, 21.7325
8.53117, 6.39059, 29.7415
8.76154, 4.60502, 28.8705
9.78277, 2.73282, 28.5696
10.2887, 2.87718, 30.4992
9.74076, 4.17182, 27.1813
7.10331, 6.55801, 28.3511
14.1074, 9.90756, 18.9073
15.5936, 5.70757, 14.6543
14.9593, 4.00475, 13.8188
13.4059, 4.34519, 17.5171
12.3978, 4.98165, 19.1229
13.292, 3.10193, 15.9546
13.0892, 1.98215, 17.5992
12.9935, 3.7522, 14.087
11.8317, 6.55296, 18.0227
14.9992, 1.54106, 17.996
15.5038, 0.816986, 19.7907
11.3643, 6.76292, 14.6153
11.5657, 5.64429, 16.261
12.4052, 7.16919, 12.9566
13.8934, 6.65236, 14.1888
13.1503, 10.6569, 13.1059
13.0415, 11.5792, 14.8772
11.4598, 9.65777, 13.4853
12.2216, 8.81707, 11.8382
14.3376, 9.95321, 16.4636
14.832, 11.7553, 15.7507
17.2334, 9.25165, 11.6843
17.3394, 11.1762, 12.2181
15.6865, 8.25894, 10.8959
15.1131, 9.34535, 14.7231
16.2714, 10.72, 13.8463
16.648, 13.0371, 11.9751
