x, y, z
5.08749, 18.2044, 4.59668
5.38362, 17.3108, 6.36127
6.34441, 18.356, 3.04842
4.36658, 19.8605, 2.95288
2.9134, 19.2872, 1.70406
4.30994, 20.0136, 4.94621
2.29014, 21.1602, 1.38292
3.53254, 17.6301, 7.04793
7.88227, 17.664, 1.9732
8.36612, 18.824, 3.52895
8.7327, 15.9538, 1.38011
9.28998, 18.699, 0.999998
10.7368, 17.6525, 1.90085
-1.04705, 9.99746, 0.999998
-3.41222, 10.7009, 4.96539
-1.73859, 10.8031, 6.05557
-3.79717, 9.55029, 3.37549
-2.06221, 9.11869, 2.48229
-3.73889, 9.2257, 1.39994
0.368386, 11.3517, 1.40331
-0.970475, 12.6057, 5.65498
-2.64372, 17.0688, 3.59272
-1.6979, 15.9825, 4.98032
-0.104246, 17.1823, 4.83598
0.562625, 18.0709, 6.49898
2.00448, 17.9517, 5.1181
1.83573, 18.8119, 3.32045
1.27588, 20.7319, 3.31995
2.14855, 16.3049, 6.24383
2.5744, 16.3037, 8.19795
1.32925, 16.0732, 9.746
-2.22781, 14.1604, 5.61209
-2.82152, 14.6998, 3.77999
-3.34683, 13.5922, 7.16929
-4.35567, 13.513, 3.29217
-6.01271, 12.9189, 6.74528
-7.6385, 13.3883, 5.67923
-9.13226, 12.1951, 5.09191
-5.05935, 11.724, 5.45559
0.599199, 2.90482, 7.77044
0.879129, 1.37916, 6.50791
-0.551495, 3.38659, 6.20717
-1.62111, 4.85623, 7.04149
-3.57172, 4.56264, 6.71152
2.54137, 3.20554, 2.89356
-0.6724, 4.8899, 4.89361
0.936599, 6.56572, 3.27787
-0.0747706, 4.86531, 2.98515
1.13412, 3.94847, 1.68208
2.18624, 2.39034, 0.999997
3.48911, -0.268293, 14.663
3.17066, -0.138274, 12.6928
2.26714, 1.64583, 12.7176
0.86744, 2.49058, 11.5656
-0.870474, 1.84719, 13.8182
-0.101976, 3.49971, 12.9945
-2.66076, 1.01308, 13.5034
0.573773, 3.25245, 9.73983
-6.06748, 3.88265, 9.31062
-4.82854, 3.65836, 10.8645
-3.16456, 0.414031, 10.1555
-5.16114, 0.379501, 10.267
-1.89578, 2.07692, 11.9925
-3.33466, 2.34938, 10.6303
4.59276, -6.35706, 10.9914
4.48225, -7.61705, 12.5406
6.83523, -6.0696, 10.5893
5.42023, -4.70195, 10.2325
9.24366, -1.82222, 8.0547
8.37733, -5.41548, 9.49659
9.60881, -2.97733, 10.236
8.59807, -3.62375, 8.6358
11.7035, -5.57828, 10.1514
10.1179, -6.35954, 9.21556
9.93685, -7.72924, 10.6616
7.6805, -0.738547, 8.67287
6.62018, 0.135896, 10.5805
4.10635, 0.142407, 9.28066
6.00535, 0.353949, 8.68989
3.42631, -0.885877, 10.8555
1.67817, -6.93546, 10.1107
2.80774, -5.46469, 10.8596
8.73765, 2.24423, 9.07364
6.75482, 2.10639, 9.29586
3.00781, -8.5085, 10.9502
2.87572, -8.08886, 8.99917
-10.5308, 9.07088, 9.60217
-10.3149, 10.1931, 7.96081
-11.4442, 7.30187, 9.79257
-7.08222, 7.78172, 9.98799
-8.86938, 8.06039, 9.13454
-8.54143, 11.0794, 8.22423
-6.61977, 11.2724, 7.70466
-11.7293, 10.6788, 5.18391
-10.4232, 11.5039, 6.45415
-2.97461, 7.7912, 10.615
-1.53183, 8.27232, 11.9138
-2.97473, 7.97986, 8.62391
-2.53924, 6.04557, 8.36152
-5.45458, 8.68967, 12.1879
-4.31872, 7.06763, 11.9072
-7.53995, 6.43175, 7.69744
-7.03283, 5.6281, 9.45726
-5.94358, 6.43323, 10.9288
-2.69555, -14.7365, 3.15383
-3.15285, -16.3107, 4.29961
-4.36269, -12.3023, 4.28428
-3.02979, -11.6391, 2.94879
-4.30229, -12.169, 6.27891
-1.6332, -13.0436, 3.22633
-0.145471, -10.0944, 5.18682
-1.09552, -8.65158, 6.19464
-1.82508, -8.14086, 2.78618
-0.728072, -7.79905, 4.42316
-0.487306, -10.3797, 3.23702
0.149905, -12.2306, 2.82693
-1.54992, -7.28422, 0.999998
-3.73786, -6.47449, 9.4763
-2.43667, -7.9924, 9.52943
-0.562146, -8.90012, 10.079
0.412305, -7.77293, 11.4131
-1.03319, -8.46384, 8.18483
-4.70913, -7.73371, 8.26346
-4.39545, -15.1829, 2.19936
-1.74667, -18.1871, 6.51557
-0.250102, -18.2589, 7.84037
0.0600788, -14.9433, 5.56962
-0.269191, -13.1814, 4.68252
1.00356, -15.7984, 7.11189
2.3986, -14.8549, 6.03317
0.028746, -16.4836, 8.71821
-2.09391, -13.2219, 5.50028
2.88349, -16.2768, 4.71283
3.89928, -15.7971, 3.05813
-3.07981, -14.529, 8.53209
-1.62111, -13.8733, 7.33118
-3.72253, -16.27, 9.27758
-2.83524, -16.9096, 7.60317
-6.85527, -16.6611, 7.8825
-7.11189, -15.5884, 6.2141
-6.11381, -15.0656, 8.83357
-5.5738, -16.6454, 9.93475
-5.12202, -16.209, 4.63428
-7.05377, -16.7228, 4.56792
-7.08752, -21.1108, 4.19918
-5.97587, -20.5774, 2.62449
-8.47901, -20.0451, 5.16244
-4.92088, -18.0795, 5.31323
-4.87641, -19.4521, 3.85929
-5.79084, -19.4256, 0.999998
