dz, F
1.52091e-07, 5.44255e-12
1.52015e-07, 5.52695e-12
1.51938e-07, 5.61315e-12
1.51861e-07, 5.70126e-12
1.51785e-07, 5.7914e-12
1.51709e-07, 5.88367e-12
1.51633e-07, 5.97798e-12
1.51557e-07, 6.07459e-12
1.51481e-07, 6.17362e-12
1.51405e-07, 6.27495e-12
1.5133e-07, 6.37861e-12
1.51255e-07, 6.48478e-12
1.5118e-07, 6.59352e-12
1.51105e-07, 6.70494e-12
1.5103e-07, 6.81922e-12
1.50955e-07, 6.93657e-12
1.50881e-07, 7.05718e-12
1.50807e-07, 7.18094e-12
1.50732e-07, 7.3082e-12
1.50659e-07, 7.43906e-12
1.50585e-07, 7.57348e-12
1.50511e-07, 7.71172e-12
1.50438e-07, 7.85387e-12
1.50365e-07, 8.00002e-12
1.50292e-07, 8.15057e-12
1.50219e-07, 8.30598e-12
1.50146e-07, 8.46648e-12
1.50074e-07, 8.63224e-12
1.50001e-07, 8.80362e-12
1.49929e-07, 8.98075e-12
1.49857e-07, 9.16402e-12
1.49786e-07, 9.35373e-12
1.49714e-07, 9.55042e-12
1.49643e-07, 9.75451e-12
1.49572e-07, 9.96698e-12
1.49501e-07, 1.0188e-11
1.4943e-07, 1.04184e-11
1.4936e-07, 1.06587e-11
1.4929e-07, 1.09097e-11
1.4922e-07, 1.11719e-11
1.4915e-07, 1.1447e-11
1.4908e-07, 1.17362e-11
1.49011e-07, 1.20406e-11
1.48942e-07, 1.23619e-11
1.48873e-07, 1.27023e-11
1.48804e-07, 1.30637e-11
1.48735e-07, 1.34491e-11
1.48667e-07, 1.38627e-11
1.48599e-07, 1.43092e-11
1.48531e-07, 1.47947e-11
1.48464e-07, 1.53274e-11
1.48396e-07, 1.59185e-11
1.48329e-07, 1.65842e-11
1.48262e-07, 1.73464e-11
1.48196e-07, 1.82094e-11
1.48129e-07, 1.91688e-11
1.48063e-07, 2.02183e-11
1.47997e-07, 2.13539e-11
1.47932e-07, 2.23719e-11
1.47866e-07, 2.22725e-11
1.47801e-07, 2.18904e-11
1.47736e-07, 2.12759e-11
1.47672e-07, 2.03866e-11
1.47607e-07, 1.92518e-11
1.47543e-07, 1.78967e-11
1.47479e-07, 1.63204e-11
1.47416e-07, 1.45319e-11
1.47353e-07, 1.2546e-11
1.4729e-07, 1.03946e-11
